timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,91,49,27,2,0,0,0,0,Normal,Normal,highway,dry
0.0,193,8,56,42,92,8,0,0,0,0,Normal,Normal,highway,dry
0.0,194,4,112,7,0,0,0,0,0,0,Normal,Normal,highway,dry
0.0,195,4,231,254,0,0,0,0,0,0,Normal,Normal,highway,dry
0.0,416,8,33,42,22,42,99,42,96,42,Normal,Normal,highway,dry
0.0,432,4,6,70,0,0,0,0,0,0,Normal,Normal,highway,dry
0.0,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.0,992,4,85,3,148,3,0,0,0,0,Normal,Normal,highway,dry
0.01,192,8,228,47,187,1,0,0,0,0,Normal,Normal,highway,dry
0.01,193,8,46,42,10,7,0,0,0,0,Normal,Normal,highway,dry
0.01,416,8,28,42,2,42,61,42,49,42,Normal,Normal,highway,dry
0.01,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.02,192,8,217,48,253,1,0,0,0,0,Normal,Normal,highway,dry
0.02,193,8,47,42,162,7,0,0,0,0,Normal,Normal,highway,dry
0.02,194,4,133,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.02,195,4,167,255,0,0,0,0,0,0,Normal,Normal,highway,dry
0.02,416,8,9,42,59,42,34,42,18,42,Normal,Normal,highway,dry
0.02,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.03,192,8,246,48,18,2,0,0,0,0,Normal,Normal,highway,dry
0.03,193,8,48,42,144,7,0,0,0,0,Normal,Normal,highway,dry
0.03,416,8,26,42,17,42,253,41,47,42,Normal,Normal,highway,dry
0.03,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.04,192,8,169,49,198,1,0,0,0,0,Normal,Normal,highway,dry
0.04,193,8,49,42,148,8,0,0,0,0,Normal,Normal,highway,dry
0.04,194,4,122,7,0,0,0,0,0,0,Normal,Normal,highway,dry
0.04,195,4,1,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.04,416,8,61,42,59,42,72,42,96,42,Normal,Normal,highway,dry
0.04,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.05,192,8,56,52,20,2,0,0,0,0,Normal,Normal,highway,dry
0.05,193,8,49,42,36,7,0,0,0,0,Normal,Normal,highway,dry
0.05,416,8,45,42,72,42,53,42,15,42,Normal,Normal,highway,dry
0.05,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.06,194,4,127,23,0,0,0,0,0,0,Normal,Normal,highway,dry
0.06,195,4,221,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.06,192,8,17,53,202,1,0,0,0,0,Normal,Normal,highway,dry
0.06,193,8,44,42,73,7,0,0,0,0,Normal,Normal,highway,dry
0.06,416,8,82,42,82,42,30,42,88,42,Normal,Normal,highway,dry
0.06,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.07,192,8,204,51,208,1,0,0,0,0,Normal,Normal,highway,dry
0.07,193,8,48,42,131,8,0,0,0,0,Normal,Normal,highway,dry
0.07,416,8,20,42,28,42,16,42,30,42,Normal,Normal,highway,dry
0.07,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.08,192,8,83,52,224,1,0,0,0,0,Normal,Normal,highway,dry
0.08,193,8,45,42,110,7,0,0,0,0,Normal,Normal,highway,dry
0.08,194,4,123,13,0,0,0,0,0,0,Normal,Normal,highway,dry
0.08,195,4,185,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.08,416,8,81,42,60,42,75,42,62,42,Normal,Normal,highway,dry
0.08,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.09,192,8,251,51,3,2,0,0,0,0,Normal,Normal,highway,dry
0.09,193,8,40,42,96,7,0,0,0,0,Normal,Normal,highway,dry
0.09,416,8,61,42,77,42,43,42,250,41,Normal,Normal,highway,dry
0.09,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.1,192,8,151,51,205,1,0,0,0,0,Normal,Normal,highway,dry
0.1,193,8,42,42,208,7,0,0,0,0,Normal,Normal,highway,dry
0.1,416,8,62,42,61,42,21,42,22,42,Normal,Normal,highway,dry
0.1,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.1,194,4,114,17,0,0,0,0,0,0,Normal,Normal,highway,dry
0.1,195,4,151,255,0,0,0,0,0,0,Normal,Normal,highway,dry
0.1,432,4,6,70,0,0,0,0,0,0,Normal,Normal,highway,dry
0.1,992,4,86,3,148,3,0,0,0,0,Normal,Normal,highway,dry
0.11,192,8,207,51,249,1,0,0,0,0,Normal,Normal,highway,dry
0.11,193,8,64,42,84,8,0,0,0,0,Normal,Normal,highway,dry
0.11,416,8,98,42,21,42,93,42,102,42,Normal,Normal,highway,dry
0.11,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.12,192,8,37,51,190,1,0,0,0,0,Normal,Normal,highway,dry
0.12,193,8,66,42,109,8,0,0,0,0,Normal,Normal,highway,dry
0.12,416,8,23,42,111,42,117,42,35,42,Normal,Normal,highway,dry
0.12,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.12,194,4,121,13,0,0,0,0,0,0,Normal,Normal,highway,dry
0.12,195,4,35,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.13,192,8,179,49,22,2,0,0,0,0,Normal,Normal,highway,dry
0.13,193,8,64,42,229,7,0,0,0,0,Normal,Normal,highway,dry
0.13,416,8,21,42,105,42,63,42,78,42,Normal,Normal,highway,dry
0.13,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.14,192,8,193,50,214,1,0,0,0,0,Normal,Normal,highway,dry
0.14,193,8,64,42,31,7,0,0,0,0,Normal,Normal,highway,dry
0.14,416,8,82,42,34,42,19,42,87,42,Normal,Normal,highway,dry
0.14,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,dry
0.14,194,4,110,3,0,0,0,0,0,0,Normal,Normal,highway,dry
0.14,195,4,0,1,0,0,0,0,0,0,Normal,Normal,highway,dry
0.15,192,8,218,48,223,1,0,0,0,0,Normal,Normal,highway,dry
0.15,193,8,63,42,200,7,0,0,0,0,Normal,Normal,highway,dry
