timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,36,49,26,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,193,8,156,43,42,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,194,4,114,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,195,4,214,254,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,416,8,106,43,117,43,198,43,122,43,Normal,Normal,highway,rain_fog
0.0,432,4,6,75,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.0,992,4,162,3,200,3,0,0,0,0,Normal,Normal,highway,rain_fog
0.01,192,8,200,49,15,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.01,193,8,162,43,52,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.01,416,8,158,43,189,43,155,43,193,43,Normal,Normal,highway,rain_fog
0.01,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.02,192,8,187,50,247,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.02,193,8,164,43,66,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.02,194,4,125,3,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.02,195,4,26,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.02,416,8,134,43,141,43,119,43,190,43,Normal,Normal,highway,rain_fog
0.02,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.03,192,8,158,50,31,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.03,193,8,165,43,46,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.03,416,8,174,43,155,43,130,43,159,43,Normal,Normal,highway,rain_fog
0.03,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.04,192,8,204,48,22,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.04,193,8,164,43,39,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.04,194,4,124,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.04,195,4,186,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.04,416,8,132,43,180,43,205,43,166,43,Normal,Normal,highway,rain_fog
0.04,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.05,192,8,46,50,217,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.05,193,8,161,43,101,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.05,416,8,151,43,114,43,137,43,118,43,Normal,Normal,highway,rain_fog
0.05,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.06,194,4,141,25,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.06,195,4,8,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.06,192,8,124,48,4,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.06,193,8,165,43,4,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.06,416,8,149,43,150,43,148,43,194,43,Normal,Normal,highway,rain_fog
0.06,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.07,192,8,116,49,245,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.07,193,8,161,43,64,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.07,416,8,191,43,189,43,207,43,179,43,Normal,Normal,highway,rain_fog
0.07,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.08,192,8,120,48,37,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.08,193,8,162,43,120,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.08,194,4,123,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.08,195,4,244,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.08,416,8,177,43,136,43,117,43,184,43,Normal,Normal,highway,rain_fog
0.08,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.09,192,8,192,48,39,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.09,193,8,159,43,14,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.09,416,8,198,43,126,43,188,43,163,43,Normal,Normal,highway,rain_fog
0.09,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,192,8,224,48,216,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,193,8,161,43,158,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,416,8,190,43,124,43,134,43,158,43,Normal,Normal,highway,rain_fog
0.1,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,194,4,133,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,195,4,15,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,432,4,6,75,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.1,992,4,168,3,203,3,0,0,0,0,Normal,Normal,highway,rain_fog
0.11,192,8,245,48,33,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.11,193,8,162,43,85,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.11,416,8,118,43,193,43,176,43,121,43,Normal,Normal,highway,rain_fog
0.11,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.12,192,8,44,49,244,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.12,193,8,162,43,84,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.12,416,8,153,43,140,43,128,43,197,43,Normal,Normal,highway,rain_fog
0.12,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.12,194,4,128,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.12,195,4,95,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.13,192,8,62,48,228,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.13,193,8,162,43,174,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.13,416,8,126,43,209,43,154,43,124,43,Normal,Normal,highway,rain_fog
0.13,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.14,192,8,134,46,201,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.14,193,8,162,43,161,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.14,416,8,181,43,203,43,180,43,213,43,Normal,Normal,highway,rain_fog
0.14,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.14,194,4,138,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.14,195,4,185,255,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.15,192,8,216,46,31,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.15,193,8,162,43,232,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.15,416,8,142,43,162,43,195,43,152,43,Normal,Normal,highway,rain_fog
0.15,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.16,192,8,241,44,221,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.16,193,8,160,43,18,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.16,194,4,136,10,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.16,195,4,242,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.16,416,8,117,43,107,43,128,43,186,43,Normal,Normal,highway,rain_fog
0.16,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.17,192,8,97,45,11,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.17,193,8,157,43,80,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.17,416,8,151,43,191,43,157,43,120,43,Normal,Normal,highway,rain_fog
0.17,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.18,194,4,147,12,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.18,195,4,214,254,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.18,192,8,114,45,223,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.18,193,8,163,43,225,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.18,416,8,214,43,207,43,123,43,195,43,Normal,Normal,highway,rain_fog
0.18,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.19,192,8,210,43,209,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.19,193,8,163,43,126,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.19,416,8,139,43,180,43,141,43,194,43,Normal,Normal,highway,rain_fog
0.19,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,194,4,150,20,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,195,4,176,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,432,4,6,75,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,992,4,167,3,201,3,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,192,8,167,43,205,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,193,8,162,43,106,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.2,416,8,188,43,120,43,118,43,182,43,Normal,Normal,highway,rain_fog
0.2,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.21,192,8,185,43,208,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.21,193,8,164,43,92,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.21,416,8,166,43,181,43,131,43,187,43,Normal,Normal,highway,rain_fog
0.21,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.22,194,4,133,18,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.22,195,4,254,255,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.22,192,8,233,42,246,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.22,193,8,164,43,255,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.22,416,8,202,43,187,43,202,43,206,43,Normal,Normal,highway,rain_fog
0.22,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.23,192,8,147,41,230,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.23,193,8,165,43,13,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.23,416,8,188,43,171,43,131,43,184,43,Normal,Normal,highway,rain_fog
0.23,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.24,194,4,122,6,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.24,195,4,232,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.24,192,8,49,42,45,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.24,193,8,163,43,14,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.24,416,8,188,43,155,43,187,43,173,43,Normal,Normal,highway,rain_fog
0.24,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.25,192,8,220,43,13,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.25,193,8,164,43,88,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.25,416,8,186,43,144,43,130,43,146,43,Normal,Normal,highway,rain_fog
0.25,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.26,194,4,142,17,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.26,195,4,194,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.26,192,8,212,44,209,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.26,193,8,166,43,149,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.26,416,8,150,43,180,43,207,43,195,43,Normal,Normal,highway,rain_fog
0.26,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.27,192,8,9,45,206,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.27,193,8,161,43,100,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.27,416,8,123,43,136,43,200,43,164,43,Normal,Normal,highway,rain_fog
0.27,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.28,194,4,142,14,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.28,195,4,130,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.28,192,8,145,45,203,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.28,193,8,159,43,74,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.28,416,8,205,43,192,43,133,43,176,43,Normal,Normal,highway,rain_fog
0.28,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.29,192,8,128,44,21,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.29,193,8,158,43,44,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.29,416,8,154,43,199,43,171,43,146,43,Normal,Normal,highway,rain_fog
0.29,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,194,4,133,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,195,4,185,255,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,432,4,6,75,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,992,4,167,3,204,3,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,192,8,141,44,210,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,193,8,143,43,237,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.3,416,8,99,43,174,43,166,43,135,43,Normal,Normal,highway,rain_fog
0.3,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.31,192,8,237,44,201,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.31,193,8,143,43,146,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.31,416,8,178,43,108,43,110,43,164,43,Normal,Normal,highway,rain_fog
0.31,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.32,194,4,143,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.32,195,4,24,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.32,192,8,114,44,248,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.32,193,8,137,43,132,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.32,416,8,174,43,133,43,128,43,94,43,Normal,Normal,highway,rain_fog
0.32,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.33,192,8,50,45,215,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.33,193,8,133,43,66,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.33,416,8,161,43,128,43,155,43,123,43,Normal,Normal,highway,rain_fog
0.33,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.34,194,4,141,15,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.34,195,4,15,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.34,192,8,54,47,201,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.34,193,8,138,43,192,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.34,416,8,108,43,184,43,108,43,158,43,Normal,Normal,highway,rain_fog
0.34,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.35,192,8,10,47,233,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.35,193,8,138,43,36,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.35,416,8,110,43,138,43,168,43,141,43,Normal,Normal,highway,rain_fog
0.35,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.36,194,4,128,11,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.36,195,4,58,255,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.36,192,8,219,46,214,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.36,193,8,131,43,19,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.36,416,8,117,43,87,43,160,43,134,43,Normal,Normal,highway,rain_fog
0.36,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.37,192,8,113,47,18,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.37,193,8,131,43,105,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.37,416,8,162,43,120,43,128,43,87,43,Normal,Normal,highway,rain_fog
0.37,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.38,194,4,136,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.38,195,4,16,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.38,192,8,208,46,17,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.38,193,8,128,43,26,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.38,416,8,91,43,160,43,138,43,112,43,Normal,Normal,highway,rain_fog
0.38,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.39,192,8,174,47,231,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.39,193,8,125,43,18,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.39,416,8,98,43,100,43,167,43,122,43,Normal,Normal,highway,rain_fog
0.39,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,432,4,6,75,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,992,4,167,3,203,3,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,194,4,139,3,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,195,4,252,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,192,8,11,47,227,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,193,8,100,43,76,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.4,416,8,145,43,58,43,79,43,117,43,Normal,Normal,highway,rain_fog
0.4,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.41,192,8,90,48,217,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.41,193,8,100,43,36,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.41,416,8,78,43,86,43,64,43,130,43,Normal,Normal,highway,rain_fog
0.41,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.42,194,4,144,10,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.42,195,4,9,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.42,192,8,247,47,240,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.42,193,8,95,43,130,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.42,416,8,83,43,147,43,67,43,69,43,Normal,Normal,highway,rain_fog
0.42,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.43,192,8,115,48,231,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.43,193,8,98,43,89,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.43,416,8,119,43,109,43,127,43,87,43,Normal,Normal,highway,rain_fog
0.43,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.44,194,4,132,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.44,195,4,255,254,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.44,192,8,238,46,28,2,0,0,0,0,Normal,Normal,highway,rain_fog
0.44,193,8,100,43,128,8,0,0,0,0,Normal,Normal,highway,rain_fog
0.44,416,8,145,43,120,43,105,43,148,43,Normal,Normal,highway,rain_fog
0.44,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,rain_fog
0.45,192,8,93,47,206,1,0,0,0,0,Normal,Normal,highway,rain_fog
0.45,193,8,100,43,79,7,0,0,0,0,Normal,Normal,highway,rain_fog
0.45,416,8,118,43,124,43,74,43,128,43,Normal,Normal,highway,rain_fog
