timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,142,48,12,2,0,0,0,0,Normal,Normal,highway,snow
0.0,193,8,53,42,93,7,0,0,0,0,Normal,Normal,highway,snow
0.0,194,4,109,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.0,195,4,194,255,0,0,0,0,0,0,Normal,Normal,highway,snow
0.0,416,8,91,42,17,42,12,42,20,42,Normal,Normal,highway,snow
0.0,432,4,6,55,0,0,0,0,0,0,Normal,Normal,highway,snow
0.0,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.0,992,4,179,2,240,2,0,0,0,0,Normal,Normal,highway,snow
0.01,192,8,211,47,19,2,0,0,0,0,Normal,Normal,highway,snow
0.01,193,8,65,42,192,7,0,0,0,0,Normal,Normal,highway,snow
0.01,416,8,83,42,83,42,37,42,24,42,Normal,Normal,highway,snow
0.01,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,snow
0.02,192,8,234,46,239,1,0,0,0,0,Normal,Normal,highway,snow
0.02,193,8,66,42,55,8,0,0,0,0,Normal,Normal,highway,snow
0.02,194,4,130,18,0,0,0,0,0,0,Normal,Normal,highway,snow
0.02,195,4,224,255,0,0,0,0,0,0,Normal,Normal,highway,snow
0.02,416,8,15,42,78,42,47,42,60,42,Normal,Normal,highway,snow
0.02,800,3,0,1,0,0,0,0,0,0,Normal,Normal,highway,snow
0.03,192,8,21,46,198,1,0,0,0,0,Normal,Normal,highway,snow
0.03,193,8,63,42,110,8,0,0,0,0,Normal,Normal,highway,snow
0.03,416,8,21,42,22,42,60,42,12,42,Normal,Normal,highway,snow
0.03,800,3,1,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.04,192,8,165,45,231,1,0,0,0,0,Normal,Normal,highway,snow
0.04,193,8,57,42,37,7,0,0,0,0,Normal,Normal,highway,snow
0.04,194,4,136,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.04,195,4,120,255,0,0,0,0,0,0,Normal,Normal,highway,snow
0.04,416,8,87,42,71,42,92,42,64,42,Normal,Normal,highway,snow
0.04,800,3,1,1,0,0,0,0,0,0,Normal,Normal,highway,snow
0.05,192,8,69,44,250,1,0,0,0,0,Normal,Normal,highway,snow
0.05,193,8,57,42,120,8,0,0,0,0,Normal,Normal,highway,snow
0.05,416,8,19,42,49,42,33,42,20,42,Normal,Normal,highway,snow
0.05,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.06,194,4,140,7,0,0,0,0,0,0,Normal,Normal,highway,snow
0.06,195,4,42,1,0,0,0,0,0,0,Normal,Normal,highway,snow
0.06,192,8,166,44,236,1,0,0,0,0,Normal,Normal,highway,snow
0.06,193,8,54,42,214,7,0,0,0,0,Normal,Normal,highway,snow
0.06,416,8,19,42,101,42,15,42,42,42,Normal,Normal,highway,snow
0.06,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.07,192,8,52,45,220,1,0,0,0,0,Normal,Normal,highway,snow
0.07,193,8,52,42,38,7,0,0,0,0,Normal,Normal,highway,snow
0.07,416,8,11,42,92,42,59,42,23,42,Normal,Normal,highway,snow
0.07,800,3,0,0,0,0,0,0,0,0,Normal,Normal,highway,snow
0.08,192,8,11,46,4,2,0,0,0,0,Normal,Normal,highway,snow
0.08,193,8,49,42,113,7,0,0,0,0,Normal,Normal,highway,snow
0.08,194,4,101,8,0,0,0,0,0,0,Normal,Normal,highway,snow
