timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,78,42,66,2,0,0,0,0,Normal,Normal,rural,dry
0.0,193,8,231,28,97,8,0,0,0,0,Normal,Normal,rural,dry
0.0,194,4,133,20,0,0,0,0,0,0,Normal,Normal,rural,dry
0.0,195,4,170,255,0,0,0,0,0,0,Normal,Normal,rural,dry
0.0,416,8,251,28,226,28,248,28,200,28,Normal,Normal,rural,dry
0.0,432,4,4,70,0,0,0,0,0,0,Normal,Normal,rural,dry
0.0,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.0,992,4,106,3,145,3,0,0,0,0,Normal,Normal,rural,dry
0.01,192,8,84,43,238,1,0,0,0,0,Normal,Normal,rural,dry
0.01,193,8,248,28,57,8,0,0,0,0,Normal,Normal,rural,dry
0.01,416,8,240,28,28,29,2,29,210,28,Normal,Normal,rural,dry
0.01,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.02,192,8,76,44,250,1,0,0,0,0,Normal,Normal,rural,dry
0.02,193,8,252,28,109,8,0,0,0,0,Normal,Normal,rural,dry
0.02,194,4,126,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.02,195,4,93,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.02,416,8,220,28,12,29,212,28,240,28,Normal,Normal,rural,dry
0.02,800,3,1,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.03,192,8,97,46,9,2,0,0,0,0,Normal,Normal,rural,dry
0.03,193,8,247,28,3,8,0,0,0,0,Normal,Normal,rural,dry
0.03,416,8,226,28,36,29,39,29,237,28,Normal,Normal,rural,dry
0.03,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,dry
0.04,192,8,157,45,61,2,0,0,0,0,Normal,Normal,rural,dry
0.04,193,8,248,28,158,7,0,0,0,0,Normal,Normal,rural,dry
0.04,194,4,130,0,0,0,0,0,0,0,Normal,Normal,rural,dry
0.04,195,4,202,255,0,0,0,0,0,0,Normal,Normal,rural,dry
