timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,173,39,245,1,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,193,8,154,27,170,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,194,4,128,7,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,195,4,115,255,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,416,8,134,27,166,27,176,27,147,27,Normal,Normal,rural,rain_fog
0.0,432,4,4,75,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.0,992,4,123,3,162,3,0,0,0,0,Normal,Normal,rural,rain_fog
0.01,192,8,142,40,211,1,0,0,0,0,Normal,Normal,rural,rain_fog
0.01,193,8,167,27,226,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.01,416,8,174,27,142,27,158,27,188,27,Normal,Normal,rural,rain_fog
0.01,800,3,1,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.02,192,8,218,40,17,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.02,193,8,169,27,134,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.02,194,4,142,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.02,195,4,90,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.02,416,8,147,27,200,27,159,27,175,27,Normal,Normal,rural,rain_fog
0.02,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.03,192,8,109,40,13,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.03,193,8,175,27,123,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.03,416,8,182,27,166,27,167,27,169,27,Normal,Normal,rural,rain_fog
0.03,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.04,192,8,35,40,27,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.04,193,8,176,27,73,8,0,0,0,0,Normal,Normal,rural,rain_fog
0.04,194,4,142,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.04,195,4,83,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.04,416,8,228,27,190,27,191,27,223,27,Normal,Normal,rural,rain_fog
0.04,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.05,192,8,109,38,249,1,0,0,0,0,Normal,Normal,rural,rain_fog
0.05,193,8,180,27,219,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.05,416,8,140,27,135,27,147,27,227,27,Normal,Normal,rural,rain_fog
0.05,800,3,1,1,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.06,194,4,151,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.06,195,4,230,254,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.06,192,8,193,37,212,1,0,0,0,0,Normal,Normal,rural,rain_fog
0.06,193,8,184,27,33,8,0,0,0,0,Normal,Normal,rural,rain_fog
0.06,416,8,204,27,204,27,140,27,210,27,Normal,Normal,rural,rain_fog
0.06,800,3,1,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.07,192,8,51,37,35,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.07,193,8,185,27,148,8,0,0,0,0,Normal,Normal,rural,rain_fog
0.07,416,8,136,27,145,27,191,27,230,27,Normal,Normal,rural,rain_fog
0.07,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.08,192,8,35,37,36,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.08,193,8,182,27,11,7,0,0,0,0,Normal,Normal,rural,rain_fog
0.08,194,4,116,19,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.08,195,4,197,255,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.08,416,8,142,27,164,27,184,27,144,27,Normal,Normal,rural,rain_fog
0.08,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.09,192,8,72,37,2,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.09,193,8,185,27,8,8,0,0,0,0,Normal,Normal,rural,rain_fog
0.09,416,8,173,27,166,27,160,27,206,27,Normal,Normal,rural,rain_fog
0.09,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,192,8,136,37,35,2,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,193,8,185,27,75,8,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,416,8,227,27,223,27,156,27,235,27,Normal,Normal,rural,rain_fog
0.1,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,194,4,126,6,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,195,4,28,255,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,432,4,4,75,0,0,0,0,0,0,Normal,Normal,rural,rain_fog
0.1,992,4,125,3,153,3,0,0,0,0,Normal,Normal,rural,rain_fog
