timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,243,35,220,1,0,0,0,0,Normal,Normal,rural,snow
0.0,193,8,36,26,69,8,0,0,0,0,Normal,Normal,rural,snow
0.0,194,4,137,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.0,195,4,163,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.0,416,8,24,26,27,26,39,26,80,26,Normal,Normal,rural,snow
0.0,432,4,4,55,0,0,0,0,0,0,Normal,Normal,rural,snow
0.0,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,snow
0.0,992,4,194,2,242,2,0,0,0,0,Normal,Normal,rural,snow
0.01,192,8,107,37,198,1,0,0,0,0,Normal,Normal,rural,snow
0.01,193,8,67,26,169,7,0,0,0,0,Normal,Normal,rural,snow
0.01,416,8,21,26,112,26,76,26,109,26,Normal,Normal,rural,snow
0.01,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,snow
0.02,192,8,99,38,191,1,0,0,0,0,Normal,Normal,rural,snow
0.02,193,8,68,26,68,8,0,0,0,0,Normal,Normal,rural,snow
0.02,194,4,145,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.02,195,4,44,255,0,0,0,0,0,0,Normal,Normal,rural,snow
0.02,416,8,109,26,15,26,59,26,14,26,Normal,Normal,rural,snow
0.02,800,3,0,1,0,0,0,0,0,0,Normal,Normal,rural,snow
0.03,192,8,94,38,1,2,0,0,0,0,Normal,Normal,rural,snow
0.03,193,8,66,26,20,8,0,0,0,0,Normal,Normal,rural,snow
0.03,416,8,71,26,50,26,88,26,31,26,Normal,Normal,rural,snow
0.03,800,3,1,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.04,192,8,203,37,244,1,0,0,0,0,Normal,Normal,rural,snow
0.04,193,8,67,26,220,7,0,0,0,0,Normal,Normal,rural,snow
0.04,194,4,131,21,0,0,0,0,0,0,Normal,Normal,rural,snow
0.04,195,4,68,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.04,416,8,101,26,107,26,46,26,100,26,Normal,Normal,rural,snow
0.04,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.05,192,8,54,38,198,1,0,0,0,0,Normal,Normal,rural,snow
0.05,193,8,71,26,39,8,0,0,0,0,Normal,Normal,rural,snow
0.05,416,8,77,26,25,26,113,26,26,26,Normal,Normal,rural,snow
0.05,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.06,194,4,133,22,0,0,0,0,0,0,Normal,Normal,rural,snow
0.06,195,4,100,255,0,0,0,0,0,0,Normal,Normal,rural,snow
0.06,192,8,46,39,13,2,0,0,0,0,Normal,Normal,rural,snow
0.06,193,8,76,26,117,7,0,0,0,0,Normal,Normal,rural,snow
0.06,416,8,32,26,76,26,42,26,102,26,Normal,Normal,rural,snow
0.06,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.07,192,8,241,38,245,1,0,0,0,0,Normal,Normal,rural,snow
0.07,193,8,78,26,8,8,0,0,0,0,Normal,Normal,rural,snow
0.07,416,8,65,26,64,26,60,26,117,26,Normal,Normal,rural,snow
0.07,800,3,0,0,0,0,0,0,0,0,Normal,Normal,rural,snow
0.08,192,8,212,38,5,2,0,0,0,0,Normal,Normal,rural,snow
