timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,34,30,250,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,193,8,208,14,236,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,194,4,124,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,195,4,250,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,416,8,198,14,238,14,161,14,163,14,Normal,Normal,urban,rain_fog
0.0,432,4,2,75,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.0,992,4,148,3,187,3,0,0,0,0,Normal,Normal,urban,rain_fog
0.01,192,8,20,29,172,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.01,193,8,238,14,92,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.01,416,8,223,14,216,14,246,14,0,15,Normal,Normal,urban,rain_fog
0.01,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.02,192,8,75,28,199,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.02,193,8,233,14,15,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.02,194,4,126,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.02,195,4,143,255,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.02,416,8,195,14,247,14,22,15,233,14,Normal,Normal,urban,rain_fog
0.02,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.03,192,8,197,28,229,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.03,193,8,238,14,50,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.03,416,8,14,15,5,15,218,14,247,14,Normal,Normal,urban,rain_fog
0.03,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.04,192,8,141,28,201,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.04,193,8,238,14,41,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.04,194,4,136,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.04,195,4,94,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.04,416,8,27,15,226,14,196,14,25,15,Normal,Normal,urban,rain_fog
0.04,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.05,192,8,84,29,184,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.05,193,8,233,14,245,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.05,416,8,241,14,231,14,206,14,255,14,Normal,Normal,urban,rain_fog
0.05,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.06,194,4,112,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.06,195,4,237,255,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.06,192,8,16,30,246,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.06,193,8,230,14,227,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.06,416,8,245,14,239,14,227,14,237,14,Normal,Normal,urban,rain_fog
0.06,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.07,192,8,207,29,245,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.07,193,8,231,14,255,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.07,416,8,22,15,243,14,204,14,254,14,Normal,Normal,urban,rain_fog
0.07,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.08,192,8,89,30,231,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.08,193,8,233,14,71,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.08,194,4,108,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.08,195,4,253,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.08,416,8,212,14,212,14,17,15,221,14,Normal,Normal,urban,rain_fog
0.08,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.09,192,8,13,31,222,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.09,193,8,230,14,227,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.09,416,8,255,14,12,15,241,14,228,14,Normal,Normal,urban,rain_fog
0.09,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,192,8,74,32,218,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,193,8,231,14,200,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,416,8,6,15,241,14,245,14,14,15,Normal,Normal,urban,rain_fog
0.1,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,194,4,127,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,195,4,75,255,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,432,4,2,75,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.1,992,4,153,3,183,3,0,0,0,0,Normal,Normal,urban,rain_fog
0.11,192,8,25,31,237,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.11,193,8,201,14,150,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.11,416,8,196,14,211,14,237,14,223,14,Normal,Normal,urban,rain_fog
0.11,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.12,192,8,111,31,202,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.12,193,8,204,14,125,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.12,416,8,196,14,164,14,188,14,222,14,Normal,Normal,urban,rain_fog
0.12,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.12,194,4,115,13,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.12,195,4,204,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.13,192,8,80,30,223,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.13,193,8,203,14,142,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.13,416,8,251,14,165,14,191,14,202,14,Normal,Normal,urban,rain_fog
0.13,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.14,192,8,13,29,227,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.14,193,8,200,14,118,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.14,416,8,160,14,206,14,207,14,158,14,Normal,Normal,urban,rain_fog
0.14,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.14,194,4,118,2,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.14,195,4,18,255,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.15,192,8,95,30,205,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.15,193,8,201,14,46,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.15,416,8,194,14,198,14,168,14,152,14,Normal,Normal,urban,rain_fog
0.15,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.16,192,8,109,29,169,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.16,193,8,200,14,213,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.16,194,4,109,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.16,195,4,56,255,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.16,416,8,238,14,206,14,171,14,164,14,Normal,Normal,urban,rain_fog
0.16,800,3,1,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.17,192,8,244,28,201,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.17,193,8,197,14,154,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.17,416,8,224,14,213,14,169,14,228,14,Normal,Normal,urban,rain_fog
0.17,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.18,194,4,129,21,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.18,195,4,233,254,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.18,192,8,39,29,249,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.18,193,8,197,14,29,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.18,416,8,205,14,219,14,187,14,195,14,Normal,Normal,urban,rain_fog
0.18,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.19,192,8,143,27,249,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.19,193,8,198,14,89,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.19,416,8,189,14,168,14,247,14,206,14,Normal,Normal,urban,rain_fog
0.19,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,194,4,118,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,195,4,98,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,432,4,2,75,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,992,4,148,3,180,3,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,192,8,73,28,188,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,193,8,183,14,206,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.2,416,8,227,14,227,14,216,14,194,14,Normal,Normal,urban,rain_fog
0.2,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.21,192,8,113,28,3,2,0,0,0,0,Normal,Normal,urban,rain_fog
0.21,193,8,184,14,134,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.21,416,8,157,14,223,14,231,14,184,14,Normal,Normal,urban,rain_fog
0.21,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.22,194,4,107,6,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.22,195,4,138,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.22,192,8,176,26,208,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.22,193,8,191,14,3,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.22,416,8,170,14,150,14,238,14,232,14,Normal,Normal,urban,rain_fog
0.22,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.23,192,8,51,26,180,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.23,193,8,194,14,104,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.23,416,8,226,14,187,14,234,14,183,14,Normal,Normal,urban,rain_fog
0.23,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.24,194,4,124,9,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.24,195,4,35,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.24,192,8,93,26,198,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.24,193,8,193,14,90,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.24,416,8,181,14,223,14,165,14,165,14,Normal,Normal,urban,rain_fog
0.24,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.25,192,8,216,25,186,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.25,193,8,191,14,27,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.25,416,8,220,14,169,14,217,14,175,14,Normal,Normal,urban,rain_fog
0.25,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.26,194,4,106,2,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.26,195,4,73,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.26,192,8,248,24,177,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.26,193,8,191,14,24,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.26,416,8,239,14,206,14,188,14,238,14,Normal,Normal,urban,rain_fog
0.26,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.27,192,8,250,23,192,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.27,193,8,193,14,108,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.27,416,8,157,14,240,14,231,14,155,14,Normal,Normal,urban,rain_fog
0.27,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.28,194,4,126,20,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.28,195,4,195,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.28,192,8,48,21,213,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.28,193,8,198,14,47,8,0,0,0,0,Normal,Normal,urban,rain_fog
0.28,416,8,202,14,238,14,233,14,158,14,Normal,Normal,urban,rain_fog
0.28,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.29,192,8,204,20,196,1,0,0,0,0,Normal,Normal,urban,rain_fog
0.29,193,8,197,14,123,7,0,0,0,0,Normal,Normal,urban,rain_fog
0.29,416,8,244,14,227,14,177,14,169,14,Normal,Normal,urban,rain_fog
0.29,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
0.3,194,4,113,0,0,0,0,0,0,0,Normal,Normal,urban,rain_fog
