timestamp,arbitration_id,dlc,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,flag,attack_type,road_type,climate
0.0,192,8,179,26,219,1,0,0,0,0,Normal,Normal,urban,snow
0.0,193,8,206,14,17,8,0,0,0,0,Normal,Normal,urban,snow
0.0,194,4,118,14,0,0,0,0,0,0,Normal,Normal,urban,snow
0.0,195,4,159,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.0,416,8,237,14,252,14,0,15,212,14,Normal,Normal,urban,snow
0.0,432,4,2,55,0,0,0,0,0,0,Normal,Normal,urban,snow
0.0,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.0,992,4,205,2,234,2,0,0,0,0,Normal,Normal,urban,snow
0.01,192,8,14,26,175,1,0,0,0,0,Normal,Normal,urban,snow
0.01,193,8,202,14,71,7,0,0,0,0,Normal,Normal,urban,snow
0.01,416,8,194,14,180,14,182,14,180,14,Normal,Normal,urban,snow
0.01,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.02,192,8,8,26,253,1,0,0,0,0,Normal,Normal,urban,snow
0.02,193,8,196,14,91,7,0,0,0,0,Normal,Normal,urban,snow
0.02,194,4,130,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.02,195,4,17,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.02,416,8,195,14,183,14,187,14,230,14,Normal,Normal,urban,snow
0.02,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.03,192,8,144,26,242,1,0,0,0,0,Normal,Normal,urban,snow
0.03,193,8,194,14,139,7,0,0,0,0,Normal,Normal,urban,snow
0.03,416,8,195,14,160,14,215,14,149,14,Normal,Normal,urban,snow
0.03,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.04,192,8,11,26,226,1,0,0,0,0,Normal,Normal,urban,snow
0.04,193,8,195,14,38,8,0,0,0,0,Normal,Normal,urban,snow
0.04,194,4,113,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.04,195,4,250,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.04,416,8,236,14,174,14,222,14,185,14,Normal,Normal,urban,snow
0.04,800,3,1,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.05,192,8,90,25,245,1,0,0,0,0,Normal,Normal,urban,snow
0.05,193,8,195,14,212,7,0,0,0,0,Normal,Normal,urban,snow
0.05,416,8,190,14,152,14,152,14,227,14,Normal,Normal,urban,snow
0.05,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.06,194,4,100,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.06,195,4,5,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.06,192,8,208,24,195,1,0,0,0,0,Normal,Normal,urban,snow
0.06,193,8,195,14,93,8,0,0,0,0,Normal,Normal,urban,snow
0.06,416,8,227,14,217,14,240,14,194,14,Normal,Normal,urban,snow
0.06,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.07,192,8,237,23,201,1,0,0,0,0,Normal,Normal,urban,snow
0.07,193,8,192,14,111,7,0,0,0,0,Normal,Normal,urban,snow
0.07,416,8,231,14,223,14,158,14,226,14,Normal,Normal,urban,snow
0.07,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.08,192,8,249,24,255,1,0,0,0,0,Normal,Normal,urban,snow
0.08,193,8,192,14,49,8,0,0,0,0,Normal,Normal,urban,snow
0.08,194,4,122,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.08,195,4,50,255,0,0,0,0,0,0,Normal,Normal,urban,snow
0.08,416,8,196,14,151,14,174,14,210,14,Normal,Normal,urban,snow
0.08,800,3,1,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.09,192,8,191,24,168,1,0,0,0,0,Normal,Normal,urban,snow
0.09,193,8,182,14,64,7,0,0,0,0,Normal,Normal,urban,snow
0.09,416,8,142,14,152,14,149,14,184,14,Normal,Normal,urban,snow
0.09,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.1,192,8,243,25,234,1,0,0,0,0,Normal,Normal,urban,snow
0.1,193,8,182,14,185,7,0,0,0,0,Normal,Normal,urban,snow
0.1,416,8,189,14,135,14,140,14,181,14,Normal,Normal,urban,snow
0.1,800,3,1,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.1,194,4,127,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.1,195,4,145,255,0,0,0,0,0,0,Normal,Normal,urban,snow
0.1,432,4,2,55,0,0,0,0,0,0,Normal,Normal,urban,snow
0.1,992,4,203,2,235,2,0,0,0,0,Normal,Normal,urban,snow
0.11,192,8,162,25,242,1,0,0,0,0,Normal,Normal,urban,snow
0.11,193,8,209,14,53,7,0,0,0,0,Normal,Normal,urban,snow
0.11,416,8,159,14,233,14,181,14,194,14,Normal,Normal,urban,snow
0.11,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.12,192,8,6,24,197,1,0,0,0,0,Normal,Normal,urban,snow
0.12,193,8,210,14,230,7,0,0,0,0,Normal,Normal,urban,snow
0.12,416,8,218,14,252,14,203,14,249,14,Normal,Normal,urban,snow
0.12,800,3,1,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.12,194,4,140,16,0,0,0,0,0,0,Normal,Normal,urban,snow
0.12,195,4,173,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.13,192,8,55,23,209,1,0,0,0,0,Normal,Normal,urban,snow
0.13,193,8,215,14,194,7,0,0,0,0,Normal,Normal,urban,snow
0.13,416,8,215,14,169,14,245,14,170,14,Normal,Normal,urban,snow
0.13,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.14,192,8,210,23,249,1,0,0,0,0,Normal,Normal,urban,snow
0.14,193,8,214,14,144,8,0,0,0,0,Normal,Normal,urban,snow
0.14,416,8,177,14,208,14,223,14,191,14,Normal,Normal,urban,snow
0.14,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.14,194,4,123,17,0,0,0,0,0,0,Normal,Normal,urban,snow
0.14,195,4,162,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.15,192,8,220,22,176,1,0,0,0,0,Normal,Normal,urban,snow
0.15,193,8,217,14,240,7,0,0,0,0,Normal,Normal,urban,snow
0.15,416,8,208,14,199,14,3,15,183,14,Normal,Normal,urban,snow
0.15,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.16,192,8,254,23,216,1,0,0,0,0,Normal,Normal,urban,snow
0.16,193,8,223,14,120,8,0,0,0,0,Normal,Normal,urban,snow
0.16,194,4,111,16,0,0,0,0,0,0,Normal,Normal,urban,snow
0.16,195,4,96,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.16,416,8,11,15,224,14,226,14,252,14,Normal,Normal,urban,snow
0.16,800,3,1,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.17,192,8,97,24,250,1,0,0,0,0,Normal,Normal,urban,snow
0.17,193,8,225,14,98,8,0,0,0,0,Normal,Normal,urban,snow
0.17,416,8,205,14,188,14,7,15,230,14,Normal,Normal,urban,snow
0.17,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.18,194,4,123,6,0,0,0,0,0,0,Normal,Normal,urban,snow
0.18,195,4,86,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.18,192,8,229,25,7,2,0,0,0,0,Normal,Normal,urban,snow
0.18,193,8,229,14,237,7,0,0,0,0,Normal,Normal,urban,snow
0.18,416,8,221,14,190,14,4,15,15,15,Normal,Normal,urban,snow
0.18,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.19,192,8,211,26,170,1,0,0,0,0,Normal,Normal,urban,snow
0.19,193,8,229,14,141,7,0,0,0,0,Normal,Normal,urban,snow
0.19,416,8,249,14,210,14,5,15,223,14,Normal,Normal,urban,snow
0.19,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.2,194,4,101,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.2,195,4,44,255,0,0,0,0,0,0,Normal,Normal,urban,snow
0.2,432,4,2,55,0,0,0,0,0,0,Normal,Normal,urban,snow
0.2,992,4,202,2,229,2,0,0,0,0,Normal,Normal,urban,snow
0.2,192,8,29,26,207,1,0,0,0,0,Normal,Normal,urban,snow
0.2,193,8,244,14,69,7,0,0,0,0,Normal,Normal,urban,snow
0.2,416,8,198,14,209,14,6,15,194,14,Normal,Normal,urban,snow
0.2,800,3,0,1,0,0,0,0,0,0,Normal,Normal,urban,snow
0.21,192,8,247,26,192,1,0,0,0,0,Normal,Normal,urban,snow
0.21,193,8,243,14,58,7,0,0,0,0,Normal,Normal,urban,snow
0.21,416,8,206,14,212,14,204,14,229,14,Normal,Normal,urban,snow
0.21,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.22,194,4,112,25,0,0,0,0,0,0,Normal,Normal,urban,snow
0.22,195,4,254,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.22,192,8,139,27,254,1,0,0,0,0,Normal,Normal,urban,snow
0.22,193,8,243,14,55,8,0,0,0,0,Normal,Normal,urban,snow
0.22,416,8,18,15,31,15,194,14,13,15,Normal,Normal,urban,snow
0.22,800,3,0,0,0,0,0,0,0,0,Normal,Normal,urban,snow
0.23,192,8,145,27,200,1,0,0,0,0,Normal,Normal,urban,snow
