timestamp,can_id,dlc,data_hex
0.0,0xc0,8,5b311b0200000000
0.0,0xc1,8,382a5c0800000000
0.0,0xc2,4,70070000
0.0,0xc3,4,e7fe0000
0.0,0x1a0,8,212a162a632a602a
0.0,0x1b0,4,06460000
0.0,0x320,3,000000
0.0,0x3e0,4,55039403
0.01,0xc0,8,e42fbb0100000000
0.01,0xc1,8,2e2a0a0700000000
0.01,0x1a0,8,1c2a022a3d2a312a
0.01,0x320,3,000100
0.02,0xc0,8,d930fd0100000000
0.02,0xc1,8,2f2aa20700000000
0.02,0xc2,4,85010000
0.02,0xc3,4,a7ff0000
0.02,0x1a0,8,092a3b2a222a122a
0.02,0x320,3,000100
0.03,0xc0,8,f630120200000000
0.03,0xc1,8,302a900700000000
0.03,0x1a0,8,1a2a112afd292f2a
0.03,0x320,3,000000
0.04,0xc0,8,a931c60100000000
0.04,0xc1,8,312a940800000000
0.04,0xc2,4,7a070000
0.04,0xc3,4,01000000
0.04,0x1a0,8,3d2a3b2a482a602a
0.04,0x320,3,000100
0.05,0xc0,8,3834140200000000
0.05,0xc1,8,312a240700000000
0.05,0x1a0,8,2d2a482a352a0f2a
0.05,0x320,3,000000
0.06,0xc2,4,7f170000
0.06,0xc3,4,dd000000
0.06,0xc0,8,1135ca0100000000
0.06,0xc1,8,2c2a490700000000
0.06,0x1a0,8,522a522a1e2a582a
0.06,0x320,3,010000
0.07,0xc0,8,cc33d00100000000
0.07,0xc1,8,302a830800000000
0.07,0x1a0,8,142a1c2a102a1e2a
0.07,0x320,3,000000
0.08,0xc0,8,5334e00100000000
0.08,0xc1,8,2d2a6e0700000000
0.08,0xc2,4,7b0d0000
0.08,0xc3,4,b9000000
0.08,0x1a0,8,512a3c2a4b2a3e2a
0.08,0x320,3,000000
0.09,0xc0,8,fb33030200000000
0.09,0xc1,8,282a600700000000
0.09,0x1a0,8,3d2a4d2a2b2afa29
0.09,0x320,3,000000
0.1,0xc0,8,9733cd0100000000
0.1,0xc1,8,2a2ad00700000000
0.1,0x1a0,8,3e2a3d2a152a162a
0.1,0x320,3,000100
0.1,0xc2,4,72110000
