timestamp,can_id,dlc,data_hex
0.0,0xc0,8,8e300c0200000000
0.0,0xc1,8,352a5d0700000000
0.0,0xc2,4,6d000000
0.0,0xc3,4,c2ff0000
0.0,0x1a0,8,5b2a112a0c2a142a
0.0,0x1b0,4,06370000
0.0,0x320,3,000000
0.0,0x3e0,4,b302f002
0.01,0xc0,8,d32f130200000000
0.01,0xc1,8,412ac00700000000
0.01,0x1a0,8,532a532a252a182a
0.01,0x320,3,000100
0.02,0xc0,8,ea2eef0100000000
0.02,0xc1,8,422a370800000000
0.02,0xc2,4,82120000
0.02,0xc3,4,e0ff0000
0.02,0x1a0,8,0f2a4e2a2f2a3c2a
0.02,0x320,3,000100
0.03,0xc0,8,152ec60100000000
0.03,0xc1,8,3f2a6e0800000000
0.03,0x1a0,8,152a162a3c2a0c2a
0.03,0x320,3,010000
0.04,0xc0,8,a52de70100000000
0.04,0xc1,8,392a250700000000
0.04,0xc2,4,88000000
0.04,0xc3,4,78ff0000
0.04,0x1a0,8,572a472a5c2a402a
0.04,0x320,3,010100
0.05,0xc0,8,452cfa0100000000
0.05,0xc1,8,392a780800000000
0.05,0x1a0,8,132a312a212a142a
0.05,0x320,3,000000
0.06,0xc2,4,8c070000
0.06,0xc3,4,2a010000
0.06,0xc0,8,a62cec0100000000
0.06,0xc1,8,362ad60700000000
0.06,0x1a0,8,132a652a0f2a2a2a
0.06,0x320,3,000000
0.07,0xc0,8,342ddc0100000000
0.07,0xc1,8,342a260700000000
0.07,0x1a0,8,0b2a5c2a3b2a172a
0.07,0x320,3,000000
0.08,0xc0,8,0b2e040200000000
0.08,0xc1,8,312a710700000000
0.08,0xc2,4,65080000
0.08,0xc3,4,d2000000
0.08,0x1a0,8,382a0d2a452a422a
0.08,0x320,3,010100
0.09,0xc0,8,242dee0100000000
0.09,0xc1,8,292a0f0700000000
0.09,0x1a0,8,4a2a0d2a5a2a3a2a
0.09,0x320,3,000000
0.1,0xc0,8,dd2cfe0100000000
0.1,0xc1,8,2c2a690800000000
0.1,0x1a0,8,392aff290c2a172a
0.1,0x320,3,000000
0.1,0xc2,4,80010000
0.1,0xc3,4,f1fe0000
0.1,0x1b0,4,06370000
0.1,0x3e0,4,ab02f902
0.11,0xc0,8,182a140200000000
0.11,0xc1,8,332a2c0700000000
0.11,0x1a0,8,202a382a2a2a492a
0.11,0x320,3,000100
0.12,0xc0,8,c3290e0200000000
0.12,0xc1,8,342a5d0800000000
0.12,0x1a0,8,632a272a3d2a542a
0.12,0x320,3,000000
0.12,0xc2,4,6b130000
0.12,0xc3,4,a3000000
0.13,0xc0,8,fb2acb0100000000
0.13,0xc1,8,352a2c0800000000
0.13,0x1a0,8,232a1e2a502a222a
0.13,0x320,3,010100
0.14,0xc0,8,702a020200000000
0.14,0xc1,8,332a2f0800000000
0.14,0x1a0,8,2d2a202a352a3b2a
0.14,0x320,3,000000
0.14,0xc2,4,780d0000
0.14,0xc3,4,8c000000
0.15,0xc0,8,5e2ad00100000000
0.15,0xc1,8,322ab70700000000
0.15,0x1a0,8,392a632a552a0c2a
0.15,0x320,3,010000
0.16,0xc0,8,ae2b0f0200000000
0.16,0xc1,8,332aa90700000000
0.16,0xc2,4,75080000
0.16,0xc3,4,2aff0000
0.16,0x1a0,8,522a3d2a3e2a402a
0.16,0x320,3,010100
0.17,0xc0,8,0f2cf70100000000
0.17,0xc1,8,2b2a9e0700000000
0.17,0x1a0,8,222a092a042a122a
0.17,0x320,3,000000
0.18,0xc2,4,7a160000
0.18,0xc3,4,c2ff0000
0.18,0xc0,8,2b2c180200000000
0.18,0xc1,8,272ae80700000000
0.18,0x1a0,8,3e2a172a342a072a
0.18,0x320,3,000000
0.19,0xc0,8,152de00100000000
0.19,0xc1,8,282a440800000000
0.19,0x1a0,8,2d2a512a072a252a
0.19,0x320,3,000000
0.2,0xc2,4,7e000000
0.2,0xc3,4,19000000
0.2,0x1b0,4,06370000
0.2,0x3e0,4,a802f702
0.2,0xc0,8,2d2cea0100000000
0.2,0xc1,8,2f2adb0700000000
0.2,0x1a0,8,582a492a362a112a
0.2,0x320,3,010000
0.21,0xc0,8,202c000200000000
0.21,0xc1,8,2e2a2c0800000000
0.21,0x1a0,8,1d2a0d2a152a582a
0.21,0x320,3,010000
0.22,0xc2,4,83170000
0.22,0xc3,4,a4ff0000
0.22,0xc0,8,1c2cc50100000000
0.22,0xc1,8,302a930800000000
0.22,0x1a0,8,1a2a082a2e2a372a
0.22,0x320,3,000000
0.23,0xc0,8,242bf10100000000
0.23,0xc1,8,2f2a540800000000
0.23,0x1a0,8,4d2a2a2a002a002a
0.23,0x320,3,000100
0.24,0xc2,4,76100000
0.24,0xc3,4,9bff0000
0.24,0xc0,8,c62cfe0100000000
0.24,0xc1,8,322a740700000000
0.24,0x1a0,8,5c2a552a222a1a2a
0.24,0x320,3,000000
0.25,0xc0,8,772cbe0100000000
0.25,0xc1,8,352a850800000000
0.25,0x1a0,8,3f2a212a302a652a
0.25,0x320,3,010100
0.26,0xc2,4,8c000000
0.26,0xc3,4,62000000
0.26,0xc0,8,552ce40100000000
0.26,0xc1,8,342a4f0800000000
0.26,0x1a0,8,062a5e2a542a1a2a
0.26,0x320,3,000000
0.27,0xc0,8,842cbe0100000000
0.27,0xc1,8,352a690700000000
0.27,0x1a0,8,062a662a1a2a122a
0.27,0x320,3,000000
0.28,0xc2,4,89100000
0.28,0xc3,4,fffe0000
0.28,0xc0,8,782a080200000000
0.28,0xc1,8,382a890700000000
0.28,0x1a0,8,552a142a172a322a
0.28,0x320,3,000100
0.29,0xc0,8,be2b190200000000
0.29,0xc1,8,382add0700000000
0.29,0x1a0,8,392a5f2a0d2a252a
0.29,0x320,3,000100
0.3,0xc2,4,81110000
0.3,0xc3,4,49ff0000
0.3,0x1b0,4,06370000
0.3,0x3e0,4,a202fa02
0.3,0xc0,8,002bff0100000000
0.3,0xc1,8,2a2a820700000000
0.3,0x1a0,8,422a282a1c2a192a
0.3,0x320,3,000000
0.31,0xc0,8,582aec0100000000
0.31,0xc1,8,2c2ad70700000000
0.31,0x1a0,8,002a1f2a302a562a
0.31,0x320,3,010000
0.32,0xc2,4,7d000000
0.32,0xc3,4,5dff0000
0.32,0xc0,8,dc2bd40100000000
0.32,0xc1,8,2c2a400800000000
0.32,0x1a0,8,4b2a0c2a442a0f2a
0.32,0x320,3,000000
0.33,0xc0,8,4d2b120200000000
0.33,0xc1,8,2e2a7c0800000000
0.33,0x1a0,8,522a242a2d2a0c2a
0.33,0x320,3,000000
0.34,0xc2,4,75000000
0.34,0xc3,4,0eff0000
0.34,0xc0,8,e92ac00100000000
0.34,0xc1,8,282a1c0800000000
0.34,0x1a0,8,532a3c2a3c2afa29
0.34,0x320,3,000000
0.35,0xc0,8,b32abe0100000000
0.35,0xc1,8,272a5d0800000000
0.35,0x1a0,8,392afd29402a292a
0.35,0x320,3,010100
0.36,0xc2,4,710a0000
0.36,0xc3,4,00000000
0.36,0xc0,8,4e2bc20100000000
0.36,0xc1,8,292a430800000000
0.36,0x1a0,8,532a3d2a192a542a
0.36,0x320,3,000000
0.37,0xc0,8,122cbe0100000000
0.37,0xc1,8,282a6a0800000000
0.37,0x1a0,8,fd29092a212a512a
0.37,0x320,3,000000
0.38,0xc2,4,77010000
0.38,0xc3,4,05010000
0.38,0xc0,8,542c170200000000
0.38,0xc1,8,2d2a810800000000
0.38,0x1a0,8,5b2a1c2a552a232a
0.38,0x320,3,010000
0.39,0xc0,8,3d2ccd0100000000
0.39,0xc1,8,302a510700000000
0.39,0x1a0,8,0f2a0b2a2e2a3b2a
0.39,0x320,3,000100
0.4,0x1b0,4,06370000
0.4,0x3e0,4,a102f902
0.4,0xc2,4,7f040000
0.4,0xc3,4,1cff0000
0.4,0xc0,8,a12bdb0100000000
0.4,0xc1,8,1a2a790800000000
0.4,0x1a0,8,0d2a1e2a202a262a
0.4,0x320,3,000100
0.41,0xc0,8,482ce60100000000
0.41,0xc1,8,172aa60700000000
0.41,0x1a0,8,242a362a3c2af429
0.41,0x320,3,000000
