timestamp,can_id,dlc,data_hex
0.0,0xc0,8,4e2a420200000000
0.0,0xc1,8,e71c610800000000
0.0,0xc2,4,85140000
0.0,0xc3,4,aaff0000
0.0,0x1a0,8,fb1ce21cf81cc81c
0.0,0x1b0,4,04460000
0.0,0x320,3,000000
0.0,0x3e0,4,6a039103
0.01,0xc0,8,542bee0100000000
0.01,0xc1,8,f81c390800000000
0.01,0x1a0,8,f01c1c1d021dd21c
0.01,0x320,3,000000
0.02,0xc0,8,4c2cfa0100000000
0.02,0xc1,8,fc1c6d0800000000
0.02,0xc2,4,7e000000
0.02,0xc3,4,5d000000
0.02,0x1a0,8,dc1c0c1dd41cf01c
0.02,0x320,3,010000
0.03,0xc0,8,612e090200000000
0.03,0xc1,8,f71c030800000000
0.03,0x1a0,8,e21c241d271ded1c
0.03,0x320,3,000100
0.04,0xc0,8,9d2d3d0200000000
0.04,0xc1,8,f81c9e0700000000
0.04,0xc2,4,82000000
0.04,0xc3,4,caff0000
0.04,0x1a0,8,181dec1cdc1c021d
0.04,0x320,3,000100
0.05,0xc0,8,ec2d030200000000
0.05,0xc1,8,f51c3a0700000000
0.05,0x1a0,8,ed1c171d001d1c1d
0.05,0x320,3,000000
0.06,0xc2,4,87000000
0.06,0xc3,4,d8ff0000
0.06,0xc0,8,c82ee00100000000
0.06,0xc1,8,f31c770700000000
0.06,0x1a0,8,da1c071de71cd51c
0.06,0x320,3,000000
0.07,0xc0,8,f42d390200000000
0.07,0xc1,8,f21c330800000000
0.07,0x1a0,8,ff1cc41cfe1ccd1c
0.07,0x320,3,000100
0.08,0xc0,8,d32eed0100000000
0.08,0xc1,8,f11c220700000000
0.08,0xc2,4,89060000
0.08,0xc3,4,56000000
0.08,0x1a0,8,161dc41cc01c181d
0.08,0x320,3,010000
0.09,0xc0,8,1c2df80100000000
0.09,0xc1,8,ee1c5b0800000000
0.09,0x1a0,8,f21c151dcb1cd51c
0.09,0x320,3,000000
0.1,0xc0,8,162ef10100000000
0.1,0xc1,8,ed1c1b0800000000
0.1,0x1a0,8,d51c051d191dcd1c
0.1,0x320,3,000100
0.1,0xc2,4,800c0000
0.1,0xc3,4,daff0000
0.1,0x1b0,4,04460000
0.1,0x3e0,4,68039303
0.11,0xc0,8,222f260200000000
0.11,0xc1,8,d61c310700000000
0.11,0x1a0,8,d61cef1cb11caf1c
0.11,0x320,3,000100
0.12,0xc0,8,5830ef0100000000
0.12,0xc1,8,d51c1a0700000000
0.12,0x1a0,8,b61cd11ccb1cd01c
0.12,0x320,3,010000
0.12,0xc2,4,8c000000
0.12,0xc3,4,49000000
0.13,0xc0,8,1131400200000000
0.13,0xc1,8,d21c580700000000
0.13,0x1a0,8,df1cf11ce81cb61c
0.13,0x320,3,000000
0.14,0xc0,8,39300a0200000000
0.14,0xc1,8,ce1c0b0700000000
0.14,0x1a0,8,d01cb31cf11cc01c
0.14,0x320,3,000000
0.14,0xc2,4,94190000
0.14,0xc3,4,21ff0000
0.15,0xc0,8,7d30dd0100000000
0.15,0xc1,8,d01c090800000000
0.15,0x1a0,8,c71cb51ca21cc41c
0.15,0x320,3,000000
0.16,0xc0,8,ec2e2c0200000000
0.16,0xc1,8,cf1c800700000000
0.16,0xc2,4,72180000
0.16,0xc3,4,d6fe0000
0.16,0x1a0,8,a21cb71ccb1cd21c
0.16,0x320,3,000000
0.17,0xc0,8,b72f250200000000
0.17,0xc1,8,d01cfc0700000000
0.17,0x1a0,8,d91cee1cbb1ce11c
0.17,0x320,3,000000
0.18,0xc2,4,7f040000
0.18,0xc3,4,6e000000
0.18,0xc0,8,0931f70100000000
0.18,0xc1,8,d11cb20700000000
0.18,0x1a0,8,a61cd91ce51c9e1c
0.18,0x320,3,000000
0.19,0xc0,8,7d32fe0100000000
0.19,0xc1,8,cd1c280700000000
0.19,0x1a0,8,f01cdb1cc71ce41c
0.19,0x320,3,000000
0.2,0xc2,4,89180000
0.2,0xc3,4,3d000000
0.2,0x1b0,4,04460000
0.2,0x3e0,4,66038c03
0.2,0xc0,8,ab31320200000000
0.2,0xc1,8,e01c3f0700000000
0.2,0x1a0,8,b51cf71cef1c031d
0.2,0x320,3,010000
0.21,0xc0,8,eb2f210200000000
0.21,0xc1,8,df1c810700000000
0.21,0x1a0,8,e41ce81cc71cca1c
0.21,0x320,3,010000
0.22,0xc2,4,9a100000
0.22,0xc3,4,57ff0000
0.22,0xc0,8,5630e70100000000
0.22,0xc1,8,e21cb20700000000
0.22,0x1a0,8,ee1c0b1de91cdc1c
0.22,0x320,3,000100
0.23,0xc0,8,4331130200000000
0.23,0xc1,8,df1c690700000000
0.23,0x1a0,8,041df81cd01cb51c
0.23,0x320,3,000000
0.24,0xc2,4,8d040000
0.24,0xc3,4,91ff0000
0.24,0xc0,8,92312a0200000000
0.24,0xc1,8,e51cfb0700000000
0.24,0x1a0,8,e61cc11cd21ce21c
0.24,0x320,3,000000
0.25,0xc0,8,d630200200000000
0.25,0xc1,8,e51cc00700000000
0.25,0x1a0,8,f31cbe1c121dd91c
0.25,0x320,3,000000
0.26,0xc2,4,92070000
0.26,0xc3,4,c2000000
0.26,0xc0,8,5d30f30100000000
0.26,0xc1,8,e21c2d0800000000
0.26,0x1a0,8,d51c0d1dbb1c101d
