timestamp,can_id,dlc,data_hex
0.0,0xc0,8,ad27f50100000000
0.0,0xc1,8,9a1baa0700000000
0.0,0xc2,4,80070000
0.0,0xc3,4,73ff0000
0.0,0x1a0,8,861ba61bb01b931b
0.0,0x1b0,4,044b0000
0.0,0x320,3,000000
0.0,0x3e0,4,7b03a203
0.01,0xc0,8,8e28d30100000000
0.01,0xc1,8,a71be20700000000
0.01,0x1a0,8,ae1b8e1b9e1bbc1b
0.01,0x320,3,010000
0.02,0xc0,8,da28110200000000
0.02,0xc1,8,a91b860700000000
0.02,0xc2,4,8e000000
0.02,0xc3,4,5a000000
0.02,0x1a0,8,931bc81b9f1baf1b
0.02,0x320,3,000000
0.03,0xc0,8,6d280d0200000000
0.03,0xc1,8,af1b7b0700000000
0.03,0x1a0,8,b61ba61ba71ba91b
0.03,0x320,3,000000
0.04,0xc0,8,23281b0200000000
0.04,0xc1,8,b01b490800000000
0.04,0xc2,4,8e000000
0.04,0xc3,4,53000000
0.04,0x1a0,8,e41bbe1bbf1bdf1b
0.04,0x320,3,000000
0.05,0xc0,8,6d26f90100000000
0.05,0xc1,8,b41bdb0700000000
0.05,0x1a0,8,8c1b871b931be31b
0.05,0x320,3,010100
0.06,0xc2,4,97000000
0.06,0xc3,4,e6fe0000
0.06,0xc0,8,c125d40100000000
0.06,0xc1,8,b81b210800000000
0.06,0x1a0,8,cc1bcc1b8c1bd21b
0.06,0x320,3,010000
0.07,0xc0,8,3325230200000000
0.07,0xc1,8,b91b940800000000
0.07,0x1a0,8,881b911bbf1be61b
0.07,0x320,3,000100
0.08,0xc0,8,2325240200000000
0.08,0xc1,8,b61b0b0700000000
0.08,0xc2,4,74130000
0.08,0xc3,4,c5ff0000
0.08,0x1a0,8,8e1ba41bb81b901b
0.08,0x320,3,000000
0.09,0xc0,8,4825020200000000
0.09,0xc1,8,b91b080800000000
0.09,0x1a0,8,ad1ba61ba01bce1b
0.09,0x320,3,000100
0.1,0xc0,8,8825230200000000
0.1,0xc1,8,b91b4b0800000000
0.1,0x1a0,8,e31bdf1b9c1beb1b
0.1,0x320,3,000000
0.1,0xc2,4,7e060000
0.1,0xc3,4,1cff0000
0.1,0x1b0,4,044b0000
0.1,0x3e0,4,7d039903
0.11,0xc0,8,7724ea0100000000
0.11,0xc1,8,bf1b760800000000
0.11,0x1a0,8,b11bcb1bd91bba1b
0.11,0x320,3,000000
0.12,0xc0,8,0f26250200000000
0.12,0xc1,8,ba1b260700000000
0.12,0x1a0,8,d11bb21bb21bd01b
0.12,0x320,3,000000
0.12,0xc2,4,7e060000
0.12,0xc3,4,cdff0000
0.13,0xc0,8,8f261c0200000000
0.13,0xc1,8,bd1b3b0800000000
0.13,0x1a0,8,ad1be31ba51be81b
0.13,0x320,3,000000
0.14,0xc0,8,6527cf0100000000
0.14,0xc1,8,bf1b640800000000
0.14,0x1a0,8,ed1bb81b9b1bde1b
0.14,0x320,3,000000
0.14,0xc2,4,7e120000
0.14,0xc3,4,36000000
0.15,0xc0,8,0127d50100000000
0.15,0xc1,8,c11b390700000000
0.15,0x1a0,8,9c1bc11bb71bc81b
0.15,0x320,3,010100
0.16,0xc0,8,2428180200000000
0.16,0xc1,8,c41bf70700000000
0.16,0xc2,4,94000000
0.16,0xc3,4,c8000000
0.16,0x1a0,8,c01bf11bea1bb81b
0.16,0x320,3,000000
0.17,0xc0,8,db26ff0100000000
0.17,0xc1,8,c31b580800000000
0.17,0x1a0,8,a31ba01bd01bbe1b
0.17,0x320,3,000000
0.18,0xc2,4,7e020000
0.18,0xc3,4,05000000
0.18,0xc0,8,5625ee0100000000
0.18,0xc1,8,be1b160700000000
0.18,0x1a0,8,ae1ba11bab1ba11b
0.18,0x320,3,000100
0.19,0xc0,8,c625ea0100000000
0.19,0xc1,8,c21be30700000000
0.19,0x1a0,8,bb1be41bc81bf01b
0.19,0x320,3,000100
0.2,0xc2,4,6d140000
0.2,0xc3,4,5e000000
0.2,0x1b0,4,044b0000
0.2,0x3e0,4,7b039b03
