timestamp,can_id,dlc,data_hex
0.0,0xc0,8,7c1c300200000000
0.0,0xc1,8,b010e50700000000
0.0,0xc2,4,9a000000
0.0,0xc3,4,b6000000
0.0,0x1a0,8,8a108710bf10ab10
0.0,0x1b0,4,03460000
0.0,0x320,3,000000
0.0,0x3e0,4,65038e03
0.01,0xc0,8,841dfd0100000000
0.01,0xc1,8,a610820700000000
0.01,0x1a0,8,8310ce10ac109510
0.01,0x320,3,000000
0.02,0xc0,8,db1c350200000000
0.02,0xc1,8,a410330700000000
0.02,0xc2,4,73030000
0.02,0xc3,4,72ff0000
0.02,0x1a0,8,a510811074108a10
0.02,0x320,3,000000
0.03,0xc0,8,041f240200000000
0.03,0xc1,8,a4108a0800000000
0.03,0x1a0,8,b410c910a0108b10
0.03,0x320,3,000000
0.04,0xc0,8,601ee80100000000
0.04,0xc1,8,a210190700000000
0.04,0xc2,4,9a180000
0.04,0xc3,4,28ff0000
0.04,0x1a0,8,9710ac10cb10b810
0.04,0x320,3,010100
0.05,0xc0,8,df1d330200000000
0.05,0xc1,8,a810e90700000000
0.05,0x1a0,8,c21091109b109610
0.05,0x320,3,000100
0.06,0xc2,4,81090000
0.06,0xc3,4,e3000000
0.06,0xc0,8,951fe50100000000
0.06,0xc1,8,a410fa0700000000
0.06,0x1a0,8,ba1084108c10b810
0.06,0x320,3,010000
0.07,0xc0,8,b01f400200000000
0.07,0xc1,8,a010370700000000
0.07,0x1a0,8,b210ad10ad108b10
0.07,0x320,3,010100
0.08,0xc0,8,961ee80100000000
0.08,0xc1,8,9f105e0800000000
0.08,0xc2,4,73070000
0.08,0xc3,4,d9ff0000
0.08,0x1a0,8,bd10a810a910ab10
0.08,0x320,3,000000
0.09,0xc0,8,9f1eeb0100000000
0.09,0xc1,8,9910830700000000
0.09,0x1a0,8,a010aa10ca10cb10
0.09,0x320,3,010000
0.1,0xc0,8,721f3e0200000000
0.1,0xc1,8,9d102f0800000000
0.1,0x1a0,8,a71093108710c410
0.1,0x320,3,000000
0.1,0xc2,4,7a000000
0.1,0xc3,4,98ff0000
0.1,0x1b0,4,03460000
0.1,0x3e0,4,63038d03
0.11,0xc0,8,8a1ffb0100000000
0.11,0xc1,8,a2105a0700000000
0.11,0x1a0,8,b51088109210ce10
0.11,0x320,3,010100
0.12,0xc0,8,c41fe30100000000
