timestamp,can_id,dlc,data_hex
0.0,0xc0,8,221efa0100000000
0.0,0xc1,8,d00eec0700000000
0.0,0xc2,4,7c000000
0.0,0xc3,4,fa000000
0.0,0x1a0,8,c60eee0ea10ea30e
0.0,0x1b0,4,024b0000
0.0,0x320,3,000100
0.0,0x3e0,4,9403bb03
0.01,0xc0,8,141dac0100000000
0.01,0xc1,8,ee0e5c0800000000
0.01,0x1a0,8,df0ed80ef60e000f
0.01,0x320,3,000000
0.02,0xc0,8,4b1cc70100000000
0.02,0xc1,8,e90e0f0700000000
0.02,0xc2,4,7e010000
0.02,0xc3,4,8fff0000
0.02,0x1a0,8,c30ef70e160fe90e
0.02,0x320,3,000000
0.03,0xc0,8,c51ce50100000000
0.03,0xc1,8,ee0e320800000000
0.03,0x1a0,8,0e0f050fda0ef70e
0.03,0x320,3,000100
0.04,0xc0,8,8d1cc90100000000
0.04,0xc1,8,ee0e290700000000
0.04,0xc2,4,88010000
0.04,0xc3,4,5e000000
0.04,0x1a0,8,1b0fe20ec40e190f
0.04,0x320,3,000100
0.05,0xc0,8,541db80100000000
0.05,0xc1,8,e90ef50700000000
0.05,0x1a0,8,f10ee70ece0eff0e
0.05,0x320,3,000000
0.06,0xc2,4,70000000
0.06,0xc3,4,edff0000
0.06,0xc0,8,101ef60100000000
0.06,0xc1,8,e60ee30700000000
0.06,0x1a0,8,f50eef0ee30eed0e
0.06,0x320,3,000100
0.07,0xc0,8,cf1df50100000000
0.07,0xc1,8,e70eff0700000000
0.07,0x1a0,8,160ff30ecc0efe0e
0.07,0x320,3,010000
0.08,0xc0,8,591ee70100000000
0.08,0xc1,8,e90e470800000000
0.08,0xc2,4,6c000000
0.08,0xc3,4,fd000000
0.08,0x1a0,8,d40ed40e110fdd0e
0.08,0x320,3,000100
0.09,0xc0,8,0d1fde0100000000
0.09,0xc1,8,e60ee30700000000
0.09,0x1a0,8,ff0e0c0ff10ee40e
0.09,0x320,3,000000
0.1,0xc0,8,4a20da0100000000
0.1,0xc1,8,e70ec80700000000
0.1,0x1a0,8,060ff10ef50e0e0f
0.1,0x320,3,000100
0.1,0xc2,4,7f000000
0.1,0xc3,4,4bff0000
0.1,0x1b0,4,024b0000
0.1,0x3e0,4,9903b703
0.11,0xc0,8,191fed0100000000
0.11,0xc1,8,c90e960800000000
0.11,0x1a0,8,c40ed30eed0edf0e
0.11,0x320,3,000000
0.12,0xc0,8,6f1fca0100000000
0.12,0xc1,8,cc0e7d0800000000
0.12,0x1a0,8,c40ea40ebc0ede0e
0.12,0x320,3,010000
0.12,0xc2,4,730d0000
0.12,0xc3,4,cc000000
0.13,0xc0,8,501edf0100000000
0.13,0xc1,8,cb0e8e0700000000
0.13,0x1a0,8,fb0ea50ebf0eca0e
0.13,0x320,3,000000
0.14,0xc0,8,0d1de30100000000
0.14,0xc1,8,c80e760700000000
0.14,0x1a0,8,a00ece0ecf0e9e0e
0.14,0x320,3,000100
0.14,0xc2,4,76020000
0.14,0xc3,4,12ff0000
0.15,0xc0,8,5f1ecd0100000000
0.15,0xc1,8,c90e2e0700000000
0.15,0x1a0,8,c20ec60ea80e980e
0.15,0x320,3,000000
0.16,0xc0,8,6d1da90100000000
0.16,0xc1,8,c80ed50700000000
0.16,0xc2,4,6d000000
0.16,0xc3,4,38ff0000
0.16,0x1a0,8,ee0ece0eab0ea40e
0.16,0x320,3,010100
0.17,0xc0,8,f41cc90100000000
0.17,0xc1,8,c50e9a0700000000
0.17,0x1a0,8,e00ed50ea90ee40e
0.17,0x320,3,000100
0.18,0xc2,4,81150000
0.18,0xc3,4,e9fe0000
0.18,0xc0,8,271df90100000000
0.18,0xc1,8,c50e1d0700000000
0.18,0x1a0,8,cd0edb0ebb0ec30e
0.18,0x320,3,000100
0.19,0xc0,8,8f1bf90100000000
0.19,0xc1,8,c60e590800000000
0.19,0x1a0,8,bd0ea80ef70ece0e
0.19,0x320,3,000000
0.2,0xc2,4,76000000
0.2,0xc3,4,62000000
0.2,0x1b0,4,024b0000
0.2,0x3e0,4,9403b403
0.2,0xc0,8,491cbc0100000000
0.2,0xc1,8,b70ece0700000000
0.2,0x1a0,8,e30ee30ed80ec20e
0.2,0x320,3,000000
0.21,0xc0,8,711c030200000000
0.21,0xc1,8,b80e860700000000
0.21,0x1a0,8,9d0edf0ee70eb80e
0.21,0x320,3,000000
0.22,0xc2,4,6b060000
0.22,0xc3,4,8a000000
0.22,0xc0,8,b01ad00100000000
0.22,0xc1,8,bf0e030800000000
0.22,0x1a0,8,aa0e960eee0ee80e
0.22,0x320,3,000000
0.23,0xc0,8,331ab40100000000
0.23,0xc1,8,c20e680800000000
0.23,0x1a0,8,e20ebb0eea0eb70e
0.23,0x320,3,000000
0.24,0xc2,4,7c090000
0.24,0xc3,4,23010000
0.24,0xc0,8,5d1ac60100000000
0.24,0xc1,8,c10e5a0700000000
0.24,0x1a0,8,b50edf0ea50ea50e
0.24,0x320,3,010000
0.25,0xc0,8,d819ba0100000000
0.25,0xc1,8,bf0e1b0700000000
0.25,0x1a0,8,dc0ea90ed90eaf0e
0.25,0x320,3,000100
0.26,0xc2,4,6a020000
0.26,0xc3,4,49000000
0.26,0xc0,8,f818b10100000000
0.26,0xc1,8,bf0e180800000000
0.26,0x1a0,8,ef0ece0ebc0eee0e
0.26,0x320,3,000000
0.27,0xc0,8,fa17c00100000000
0.27,0xc1,8,c10e6c0700000000
0.27,0x1a0,8,9d0ef00ee70e9b0e
0.27,0x320,3,010000
0.28,0xc2,4,7e140000
0.28,0xc3,4,c3000000
0.28,0xc0,8,3015d50100000000
0.28,0xc1,8,c60e2f0800000000
0.28,0x1a0,8,ca0eee0ee90e9e0e
0.28,0x320,3,000100
0.29,0xc0,8,cc14c40100000000
0.29,0xc1,8,c50e7b0700000000
