timestamp,can_id,dlc,data_hex
0.0,0xc0,8,b31adb0100000000
0.0,0xc1,8,ce0e110800000000
0.0,0xc2,4,760e0000
0.0,0xc3,4,9f000000
0.0,0x1a0,8,ed0efc0e000fd40e
0.0,0x1b0,4,02370000
0.0,0x320,3,010000
0.0,0x3e0,4,cd02ea02
0.01,0xc0,8,0e1aaf0100000000
0.01,0xc1,8,ca0e470700000000
0.01,0x1a0,8,c20eb40eb60eb40e
0.01,0x320,3,000100
0.02,0xc0,8,081afd0100000000
0.02,0xc1,8,c40e5b0700000000
0.02,0xc2,4,82000000
0.02,0xc3,4,11010000
0.02,0x1a0,8,c30eb70ebb0ee60e
0.02,0x320,3,000000
0.03,0xc0,8,901af20100000000
0.03,0xc1,8,c20e8b0700000000
0.03,0x1a0,8,c30ea00ed70e950e
0.03,0x320,3,000100
0.04,0xc0,8,0b1ae20100000000
0.04,0xc1,8,c30e260800000000
0.04,0xc2,4,71000000
0.04,0xc3,4,fa000000
0.04,0x1a0,8,ec0eae0ede0eb90e
0.04,0x320,3,010100
0.05,0xc0,8,5a19f50100000000
0.05,0xc1,8,c30ed40700000000
0.05,0x1a0,8,be0e980e980ee30e
0.05,0x320,3,000100
0.06,0xc2,4,64010000
0.06,0xc3,4,05010000
0.06,0xc0,8,d018c30100000000
0.06,0xc1,8,c30e5d0800000000
0.06,0x1a0,8,e30ed90ef00ec20e
0.06,0x320,3,000100
0.07,0xc0,8,ed17c90100000000
0.07,0xc1,8,c00e6f0700000000
0.07,0x1a0,8,e70edf0e9e0ee20e
0.07,0x320,3,010000
0.08,0xc0,8,f918ff0100000000
0.08,0xc1,8,c00e310800000000
0.08,0xc2,4,7a000000
0.08,0xc3,4,32ff0000
0.08,0x1a0,8,c40e970eae0ed20e
0.08,0x320,3,010100
0.09,0xc0,8,bf18a80100000000
0.09,0xc1,8,b60e400700000000
0.09,0x1a0,8,8e0e980e950eb80e
0.09,0x320,3,000000
0.1,0xc0,8,f319ea0100000000
