timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.001,193,8,Malicious,RPM_Spoofing,100,37,0,0,0,0,0,0,highway,dry
0.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.051,193,8,Malicious,RPM_Spoofing,192,37,0,0,0,0,0,0,highway,dry
0.1,192,8,Malicious,RPM_Spoofing,12,245,255,255,255,255,255,255,highway,dry
0.101,193,8,Malicious,RPM_Spoofing,114,37,0,0,0,0,0,0,highway,dry
0.15,192,8,Malicious,RPM_Spoofing,48,245,255,255,255,255,255,255,highway,dry
0.151,193,8,Malicious,RPM_Spoofing,127,37,0,0,0,0,0,0,highway,dry
0.2,192,8,Malicious,RPM_Spoofing,126,242,255,255,255,255,255,255,highway,dry
0.25,192,8,Malicious,RPM_Spoofing,167,241,255,255,255,255,255,255,highway,dry
0.251,193,8,Malicious,RPM_Spoofing,138,37,0,0,0,0,0,0,highway,dry
0.3,192,8,Malicious,RPM_Spoofing,12,248,255,255,255,255,255,255,highway,dry
0.301,193,8,Malicious,RPM_Spoofing,123,37,0,0,0,0,0,0,highway,dry
0.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.351,193,8,Malicious,RPM_Spoofing,120,37,0,0,0,0,0,0,highway,dry
0.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.401,193,8,Malicious,RPM_Spoofing,49,37,0,0,0,0,0,0,highway,dry
0.45,192,8,Malicious,RPM_Spoofing,193,245,255,255,255,255,255,255,highway,dry
0.451,193,8,Malicious,RPM_Spoofing,225,36,0,0,0,0,0,0,highway,dry
0.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.501,193,8,Malicious,RPM_Spoofing,157,36,0,0,0,0,0,0,highway,dry
0.55,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.551,193,8,Malicious,RPM_Spoofing,125,36,0,0,0,0,0,0,highway,dry
0.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.601,193,8,Malicious,RPM_Spoofing,91,36,0,0,0,0,0,0,highway,dry
0.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.651,193,8,Malicious,RPM_Spoofing,67,36,0,0,0,0,0,0,highway,dry
0.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.701,193,8,Malicious,RPM_Spoofing,254,35,0,0,0,0,0,0,highway,dry
0.75,192,8,Malicious,RPM_Spoofing,193,246,255,255,255,255,255,255,highway,dry
0.751,193,8,Malicious,RPM_Spoofing,172,35,0,0,0,0,0,0,highway,dry
0.8,192,8,Malicious,RPM_Spoofing,43,248,255,255,255,255,255,255,highway,dry
0.801,193,8,Malicious,RPM_Spoofing,2,36,0,0,0,0,0,0,highway,dry
0.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.851,193,8,Malicious,RPM_Spoofing,4,36,0,0,0,0,0,0,highway,dry
0.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.901,193,8,Malicious,RPM_Spoofing,237,35,0,0,0,0,0,0,highway,dry
0.95,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
0.951,193,8,Malicious,RPM_Spoofing,178,35,0,0,0,0,0,0,highway,dry
1.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.001,193,8,Malicious,RPM_Spoofing,216,35,0,0,0,0,0,0,highway,dry
1.05,192,8,Malicious,RPM_Spoofing,133,243,255,255,255,255,255,255,highway,dry
1.051,193,8,Malicious,RPM_Spoofing,211,35,0,0,0,0,0,0,highway,dry
1.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.101,193,8,Malicious,RPM_Spoofing,242,35,0,0,0,0,0,0,highway,dry
1.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.151,193,8,Malicious,RPM_Spoofing,230,35,0,0,0,0,0,0,highway,dry
1.2,192,8,Malicious,RPM_Spoofing,158,253,255,255,255,255,255,255,highway,dry
1.201,193,8,Malicious,RPM_Spoofing,145,35,0,0,0,0,0,0,highway,dry
1.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.251,193,8,Malicious,RPM_Spoofing,129,35,0,0,0,0,0,0,highway,dry
1.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.301,193,8,Malicious,RPM_Spoofing,210,35,0,0,0,0,0,0,highway,dry
1.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.401,193,8,Malicious,RPM_Spoofing,17,36,0,0,0,0,0,0,highway,dry
1.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.451,193,8,Malicious,RPM_Spoofing,48,36,0,0,0,0,0,0,highway,dry
1.501,193,8,Malicious,RPM_Spoofing,29,36,0,0,0,0,0,0,highway,dry
1.55,192,8,Malicious,RPM_Spoofing,72,245,255,255,255,255,255,255,highway,dry
1.551,193,8,Malicious,RPM_Spoofing,37,36,0,0,0,0,0,0,highway,dry
1.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.601,193,8,Malicious,RPM_Spoofing,32,36,0,0,0,0,0,0,highway,dry
1.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.651,193,8,Malicious,RPM_Spoofing,129,36,0,0,0,0,0,0,highway,dry
1.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.701,193,8,Malicious,RPM_Spoofing,201,36,0,0,0,0,0,0,highway,dry
1.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.751,193,8,Malicious,RPM_Spoofing,166,36,0,0,0,0,0,0,highway,dry
1.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.801,193,8,Malicious,RPM_Spoofing,85,36,0,0,0,0,0,0,highway,dry
1.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.851,193,8,Malicious,RPM_Spoofing,66,36,0,0,0,0,0,0,highway,dry
1.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
1.95,192,8,Malicious,RPM_Spoofing,34,236,255,255,255,255,255,255,highway,dry
1.951,193,8,Malicious,RPM_Spoofing,91,36,0,0,0,0,0,0,highway,dry
2.0,192,8,Malicious,RPM_Spoofing,143,248,255,255,255,255,255,255,highway,dry
2.001,193,8,Malicious,RPM_Spoofing,113,36,0,0,0,0,0,0,highway,dry
2.05,192,8,Malicious,RPM_Spoofing,204,235,255,255,255,255,255,255,highway,dry
2.051,193,8,Malicious,RPM_Spoofing,97,36,0,0,0,0,0,0,highway,dry
2.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.101,193,8,Malicious,RPM_Spoofing,45,36,0,0,0,0,0,0,highway,dry
2.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.151,193,8,Malicious,RPM_Spoofing,25,36,0,0,0,0,0,0,highway,dry
2.2,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.201,193,8,Malicious,RPM_Spoofing,240,35,0,0,0,0,0,0,highway,dry
2.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.251,193,8,Malicious,RPM_Spoofing,50,36,0,0,0,0,0,0,highway,dry
2.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.301,193,8,Malicious,RPM_Spoofing,227,35,0,0,0,0,0,0,highway,dry
2.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.351,193,8,Malicious,RPM_Spoofing,210,35,0,0,0,0,0,0,highway,dry
2.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.401,193,8,Malicious,RPM_Spoofing,223,35,0,0,0,0,0,0,highway,dry
2.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.451,193,8,Malicious,RPM_Spoofing,239,35,0,0,0,0,0,0,highway,dry
2.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.501,193,8,Malicious,RPM_Spoofing,195,35,0,0,0,0,0,0,highway,dry
2.55,192,8,Malicious,RPM_Spoofing,218,236,255,255,255,255,255,255,highway,dry
2.551,193,8,Malicious,RPM_Spoofing,146,35,0,0,0,0,0,0,highway,dry
2.6,192,8,Malicious,RPM_Spoofing,74,252,255,255,255,255,255,255,highway,dry
2.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.651,193,8,Malicious,RPM_Spoofing,155,35,0,0,0,0,0,0,highway,dry
2.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.701,193,8,Malicious,RPM_Spoofing,137,35,0,0,0,0,0,0,highway,dry
2.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.751,193,8,Malicious,RPM_Spoofing,60,35,0,0,0,0,0,0,highway,dry
2.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.801,193,8,Malicious,RPM_Spoofing,227,34,0,0,0,0,0,0,highway,dry
2.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.851,193,8,Malicious,RPM_Spoofing,243,34,0,0,0,0,0,0,highway,dry
2.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
2.95,192,8,Malicious,RPM_Spoofing,232,246,255,255,255,255,255,255,highway,dry
2.951,193,8,Malicious,RPM_Spoofing,53,35,0,0,0,0,0,0,highway,dry
3.0,192,8,Malicious,RPM_Spoofing,7,252,255,255,255,255,255,255,highway,dry
3.001,193,8,Malicious,RPM_Spoofing,130,35,0,0,0,0,0,0,highway,dry
3.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.051,193,8,Malicious,RPM_Spoofing,179,35,0,0,0,0,0,0,highway,dry
3.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.151,193,8,Malicious,RPM_Spoofing,137,35,0,0,0,0,0,0,highway,dry
3.2,192,8,Malicious,RPM_Spoofing,87,240,255,255,255,255,255,255,highway,dry
3.201,193,8,Malicious,RPM_Spoofing,85,35,0,0,0,0,0,0,highway,dry
3.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.251,193,8,Malicious,RPM_Spoofing,47,35,0,0,0,0,0,0,highway,dry
3.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.301,193,8,Malicious,RPM_Spoofing,46,35,0,0,0,0,0,0,highway,dry
3.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.351,193,8,Malicious,RPM_Spoofing,245,34,0,0,0,0,0,0,highway,dry
3.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.401,193,8,Malicious,RPM_Spoofing,220,34,0,0,0,0,0,0,highway,dry
3.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.451,193,8,Malicious,RPM_Spoofing,247,34,0,0,0,0,0,0,highway,dry
3.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
3.501,193,8,Malicious,RPM_Spoofing,82,35,0,0,0,0,0,0,highway,dry
3.55,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,dry
