timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.001,193,8,Malicious,RPM_Spoofing,196,33,0,0,0,0,0,0,highway,snow
0.051,193,8,Malicious,RPM_Spoofing,166,33,0,0,0,0,0,0,highway,snow
0.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.101,193,8,Malicious,RPM_Spoofing,208,33,0,0,0,0,0,0,highway,snow
0.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.151,193,8,Malicious,RPM_Spoofing,235,33,0,0,0,0,0,0,highway,snow
0.2,192,8,Malicious,RPM_Spoofing,151,245,255,255,255,255,255,255,highway,snow
0.251,193,8,Malicious,RPM_Spoofing,128,33,0,0,0,0,0,0,highway,snow
0.301,193,8,Malicious,RPM_Spoofing,207,33,0,0,0,0,0,0,highway,snow
0.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.351,193,8,Malicious,RPM_Spoofing,139,33,0,0,0,0,0,0,highway,snow
0.401,193,8,Malicious,RPM_Spoofing,56,33,0,0,0,0,0,0,highway,snow
0.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.451,193,8,Malicious,RPM_Spoofing,81,33,0,0,0,0,0,0,highway,snow
0.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.55,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.551,193,8,Malicious,RPM_Spoofing,181,33,0,0,0,0,0,0,highway,snow
0.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.601,193,8,Malicious,RPM_Spoofing,128,33,0,0,0,0,0,0,highway,snow
0.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.651,193,8,Malicious,RPM_Spoofing,119,33,0,0,0,0,0,0,highway,snow
0.701,193,8,Malicious,RPM_Spoofing,93,33,0,0,0,0,0,0,highway,snow
0.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.751,193,8,Malicious,RPM_Spoofing,116,33,0,0,0,0,0,0,highway,snow
0.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.801,193,8,Malicious,RPM_Spoofing,204,33,0,0,0,0,0,0,highway,snow
0.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.851,193,8,Malicious,RPM_Spoofing,240,33,0,0,0,0,0,0,highway,snow
0.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
0.95,192,8,Malicious,RPM_Spoofing,108,255,255,255,255,255,255,255,highway,snow
0.951,193,8,Malicious,RPM_Spoofing,181,33,0,0,0,0,0,0,highway,snow
1.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.001,193,8,Malicious,RPM_Spoofing,132,33,0,0,0,0,0,0,highway,snow
1.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.051,193,8,Malicious,RPM_Spoofing,214,33,0,0,0,0,0,0,highway,snow
1.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.101,193,8,Malicious,RPM_Spoofing,229,33,0,0,0,0,0,0,highway,snow
1.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.151,193,8,Malicious,RPM_Spoofing,70,34,0,0,0,0,0,0,highway,snow
1.201,193,8,Malicious,RPM_Spoofing,66,34,0,0,0,0,0,0,highway,snow
1.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.251,193,8,Malicious,RPM_Spoofing,86,34,0,0,0,0,0,0,highway,snow
1.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.301,193,8,Malicious,RPM_Spoofing,79,34,0,0,0,0,0,0,highway,snow
1.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.401,193,8,Malicious,RPM_Spoofing,139,34,0,0,0,0,0,0,highway,snow
1.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.451,193,8,Malicious,RPM_Spoofing,43,34,0,0,0,0,0,0,highway,snow
1.501,193,8,Malicious,RPM_Spoofing,238,33,0,0,0,0,0,0,highway,snow
1.55,192,8,Malicious,RPM_Spoofing,162,250,255,255,255,255,255,255,highway,snow
1.551,193,8,Malicious,RPM_Spoofing,58,34,0,0,0,0,0,0,highway,snow
1.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
1.601,193,8,Malicious,RPM_Spoofing,110,34,0,0,0,0,0,0,highway,snow
1.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,highway,snow
