timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.002,192,8,Malicious,Gear_Spoofing,31,24,0,0,0,0,0,0,rural,dry
0.052,192,8,Malicious,Gear_Spoofing,26,24,0,0,0,0,0,0,rural,dry
0.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.102,192,8,Malicious,Gear_Spoofing,164,25,0,0,0,0,0,0,rural,dry
0.15,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.152,192,8,Malicious,Gear_Spoofing,72,23,0,0,0,0,0,0,rural,dry
0.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.252,192,8,Malicious,Gear_Spoofing,118,22,0,0,0,0,0,0,rural,dry
0.302,192,8,Malicious,Gear_Spoofing,1,22,0,0,0,0,0,0,rural,dry
0.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.402,192,8,Malicious,Gear_Spoofing,39,22,0,0,0,0,0,0,rural,dry
0.45,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.452,192,8,Malicious,Gear_Spoofing,45,21,0,0,0,0,0,0,rural,dry
0.5,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.552,192,8,Malicious,Gear_Spoofing,242,18,0,0,0,0,0,0,rural,dry
0.6,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.602,192,8,Malicious,Gear_Spoofing,118,16,0,0,0,0,0,0,rural,dry
0.65,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.702,192,8,Malicious,Gear_Spoofing,0,21,0,0,0,0,0,0,rural,dry
0.75,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.752,192,8,Malicious,Gear_Spoofing,67,21,0,0,0,0,0,0,rural,dry
0.8,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.802,192,8,Malicious,Gear_Spoofing,18,23,0,0,0,0,0,0,rural,dry
0.85,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
0.852,192,8,Malicious,Gear_Spoofing,243,21,0,0,0,0,0,0,rural,dry
0.95,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
0.952,192,8,Malicious,Gear_Spoofing,87,21,0,0,0,0,0,0,rural,dry
1.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.002,192,8,Malicious,Gear_Spoofing,232,19,0,0,0,0,0,0,rural,dry
1.05,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.052,192,8,Malicious,Gear_Spoofing,141,20,0,0,0,0,0,0,rural,dry
1.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.152,192,8,Malicious,Gear_Spoofing,19,21,0,0,0,0,0,0,rural,dry
1.202,192,8,Malicious,Gear_Spoofing,144,21,0,0,0,0,0,0,rural,dry
1.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.302,192,8,Malicious,Gear_Spoofing,105,20,0,0,0,0,0,0,rural,dry
1.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.402,192,8,Malicious,Gear_Spoofing,99,17,0,0,0,0,0,0,rural,dry
1.45,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.452,192,8,Malicious,Gear_Spoofing,191,15,0,0,0,0,0,0,rural,dry
1.502,192,8,Malicious,Gear_Spoofing,4,16,0,0,0,0,0,0,rural,dry
1.55,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.552,192,8,Malicious,Gear_Spoofing,218,14,0,0,0,0,0,0,rural,dry
1.602,192,8,Malicious,Gear_Spoofing,147,14,0,0,0,0,0,0,rural,dry
1.7,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.702,192,8,Malicious,Gear_Spoofing,154,17,0,0,0,0,0,0,rural,dry
1.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.752,192,8,Malicious,Gear_Spoofing,235,17,0,0,0,0,0,0,rural,dry
1.8,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,rural,dry
1.852,192,8,Malicious,Gear_Spoofing,97,16,0,0,0,0,0,0,rural,dry
1.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
1.952,192,8,Malicious,Gear_Spoofing,83,14,0,0,0,0,0,0,rural,dry
2.0,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
2.002,192,8,Malicious,Gear_Spoofing,146,14,0,0,0,0,0,0,rural,dry
2.052,192,8,Malicious,Gear_Spoofing,118,13,0,0,0,0,0,0,rural,dry
2.1,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
2.102,192,8,Malicious,Gear_Spoofing,19,14,0,0,0,0,0,0,rural,dry
2.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,rural,dry
2.152,192,8,Malicious,Gear_Spoofing,110,58,0,0,0,0,0,0,rural,dry
