timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,193,8,Normal,Normal,12,22,0,0,0,0,0,0,rural,rain_fog
0.0,192,8,Normal,Normal,135,51,0,0,0,0,0,0,rural,rain_fog
0.05,193,8,Normal,Normal,60,22,0,0,0,0,0,0,rural,rain_fog
0.05,192,8,Normal,Normal,237,51,0,0,0,0,0,0,rural,rain_fog
0.1,193,8,Normal,Normal,83,22,0,0,0,0,0,0,rural,rain_fog
0.1,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.1,192,8,Normal,Normal,236,51,0,0,0,0,0,0,rural,rain_fog
0.15,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.15,193,8,Normal,Normal,14,22,0,0,0,0,0,0,rural,rain_fog
0.15,192,8,Normal,Normal,22,51,0,0,0,0,0,0,rural,rain_fog
0.2,193,8,Normal,Normal,41,22,0,0,0,0,0,0,rural,rain_fog
0.2,192,8,Normal,Normal,27,52,0,0,0,0,0,0,rural,rain_fog
0.25,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.3,193,8,Normal,Normal,223,21,0,0,0,0,0,0,rural,rain_fog
0.35,192,8,Normal,Normal,140,50,0,0,0,0,0,0,rural,rain_fog
0.35,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.4,192,8,Normal,Normal,141,52,0,0,0,0,0,0,rural,rain_fog
0.4,193,8,Normal,Normal,67,22,0,0,0,0,0,0,rural,rain_fog
0.45,192,8,Normal,Normal,75,50,0,0,0,0,0,0,rural,rain_fog
0.5,192,8,Normal,Normal,78,52,0,0,0,0,0,0,rural,rain_fog
0.5,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.5,193,8,Normal,Normal,60,22,0,0,0,0,0,0,rural,rain_fog
0.55,193,8,Normal,Normal,53,22,0,0,0,0,0,0,rural,rain_fog
0.55,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.55,192,8,Normal,Normal,7,52,0,0,0,0,0,0,rural,rain_fog
0.6,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.65,192,8,Normal,Normal,168,53,0,0,0,0,0,0,rural,rain_fog
0.65,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.65,193,8,Normal,Normal,106,22,0,0,0,0,0,0,rural,rain_fog
0.7,193,8,Normal,Normal,91,22,0,0,0,0,0,0,rural,rain_fog
0.7,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.75,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.75,193,8,Normal,Normal,122,22,0,0,0,0,0,0,rural,rain_fog
0.8,193,8,Normal,Normal,69,22,0,0,0,0,0,0,rural,rain_fog
0.85,193,8,Normal,Normal,108,22,0,0,0,0,0,0,rural,rain_fog
0.85,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
0.9,192,8,Normal,Normal,34,54,0,0,0,0,0,0,rural,rain_fog
1.0,193,8,Normal,Normal,100,22,0,0,0,0,0,0,rural,rain_fog
1.0,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.05,192,8,Normal,Normal,108,53,0,0,0,0,0,0,rural,rain_fog
1.05,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.1,193,8,Normal,Normal,86,22,0,0,0,0,0,0,rural,rain_fog
1.15,192,8,Normal,Normal,243,54,0,0,0,0,0,0,rural,rain_fog
1.15,193,8,Normal,Normal,173,22,0,0,0,0,0,0,rural,rain_fog
1.15,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.2,192,8,Normal,Normal,21,53,0,0,0,0,0,0,rural,rain_fog
1.2,193,8,Normal,Normal,121,22,0,0,0,0,0,0,rural,rain_fog
1.25,192,8,Normal,Normal,175,55,0,0,0,0,0,0,rural,rain_fog
1.3,192,8,Normal,Normal,242,54,0,0,0,0,0,0,rural,rain_fog
1.3,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.35,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.35,193,8,Normal,Normal,198,22,0,0,0,0,0,0,rural,rain_fog
1.35,192,8,Normal,Normal,32,55,0,0,0,0,0,0,rural,rain_fog
1.4,193,8,Normal,Normal,24,23,0,0,0,0,0,0,rural,rain_fog
1.4,192,8,Normal,Normal,3,58,0,0,0,0,0,0,rural,rain_fog
1.4,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.45,193,8,Normal,Normal,223,22,0,0,0,0,0,0,rural,rain_fog
1.45,192,8,Normal,Normal,26,56,0,0,0,0,0,0,rural,rain_fog
1.45,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.5,192,8,Normal,Normal,149,56,0,0,0,0,0,0,rural,rain_fog
1.5,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.5,193,8,Normal,Normal,228,22,0,0,0,0,0,0,rural,rain_fog
1.55,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.6,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.6,193,8,Normal,Normal,172,22,0,0,0,0,0,0,rural,rain_fog
1.6,192,8,Normal,Normal,189,54,0,0,0,0,0,0,rural,rain_fog
1.65,193,8,Normal,Normal,87,22,0,0,0,0,0,0,rural,rain_fog
1.65,192,8,Normal,Normal,246,52,0,0,0,0,0,0,rural,rain_fog
1.65,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.7,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.7,192,8,Normal,Normal,122,54,0,0,0,0,0,0,rural,rain_fog
1.7,193,8,Normal,Normal,139,22,0,0,0,0,0,0,rural,rain_fog
1.75,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,rain_fog
1.75,192,8,Normal,Normal,8,53,0,0,0,0,0,0,rural,rain_fog
