timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,193,8,Normal,Normal,135,22,0,0,0,0,0,0,rural,snow
0.0,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.0,192,8,Normal,Normal,241,53,0,0,0,0,0,0,rural,snow
0.05,192,8,Normal,Normal,44,51,0,0,0,0,0,0,rural,snow
0.05,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.05,193,8,Normal,Normal,41,22,0,0,0,0,0,0,rural,snow
0.1,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.1,192,8,Normal,Normal,208,50,0,0,0,0,0,0,rural,snow
0.1,193,8,Normal,Normal,247,21,0,0,0,0,0,0,rural,snow
0.15,192,8,Normal,Normal,33,50,0,0,0,0,0,0,rural,snow
0.15,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.15,193,8,Normal,Normal,2,22,0,0,0,0,0,0,rural,snow
0.2,192,8,Normal,Normal,160,49,0,0,0,0,0,0,rural,snow
0.2,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.2,193,8,Normal,Normal,216,21,0,0,0,0,0,0,rural,snow
0.25,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.25,193,8,Normal,Normal,4,22,0,0,0,0,0,0,rural,snow
0.25,192,8,Normal,Normal,192,50,0,0,0,0,0,0,rural,snow
0.3,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.3,192,8,Normal,Normal,6,51,0,0,0,0,0,0,rural,snow
0.3,193,8,Normal,Normal,239,21,0,0,0,0,0,0,rural,snow
0.35,193,8,Normal,Normal,204,21,0,0,0,0,0,0,rural,snow
0.35,192,8,Normal,Normal,69,49,0,0,0,0,0,0,rural,snow
0.35,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.4,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.4,192,8,Normal,Normal,236,50,0,0,0,0,0,0,rural,snow
0.4,193,8,Normal,Normal,240,21,0,0,0,0,0,0,rural,snow
0.45,193,8,Normal,Normal,253,21,0,0,0,0,0,0,rural,snow
0.45,192,8,Normal,Normal,235,49,0,0,0,0,0,0,rural,snow
0.45,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.5,193,8,Normal,Normal,166,21,0,0,0,0,0,0,rural,snow
0.5,192,8,Normal,Normal,199,48,0,0,0,0,0,0,rural,snow
0.5,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
0.55,193,8,Normal,Normal,219,21,0,0,0,0,0,0,rural,snow
0.55,432,4,Normal,Normal,3,80,0,0,0,0,0,0,rural,snow
