timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.002,192,8,Malicious,Gear_Spoofing,250,49,0,0,0,0,0,0,urban,dry
0.05,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.052,192,8,Malicious,Gear_Spoofing,160,51,0,0,0,0,0,0,urban,dry
0.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.102,192,8,Malicious,Gear_Spoofing,168,51,0,0,0,0,0,0,urban,dry
0.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.152,192,8,Malicious,Gear_Spoofing,1,52,0,0,0,0,0,0,urban,dry
0.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.25,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.252,192,8,Malicious,Gear_Spoofing,166,51,0,0,0,0,0,0,urban,dry
0.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.302,192,8,Malicious,Gear_Spoofing,186,50,0,0,0,0,0,0,urban,dry
0.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.352,192,8,Malicious,Gear_Spoofing,247,51,0,0,0,0,0,0,urban,dry
0.402,192,8,Malicious,Gear_Spoofing,240,53,0,0,0,0,0,0,urban,dry
0.45,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.452,192,8,Malicious,Gear_Spoofing,182,52,0,0,0,0,0,0,urban,dry
0.5,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.502,192,8,Malicious,Gear_Spoofing,207,52,0,0,0,0,0,0,urban,dry
0.55,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.552,192,8,Malicious,Gear_Spoofing,60,54,0,0,0,0,0,0,urban,dry
0.6,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.602,192,8,Malicious,Gear_Spoofing,210,52,0,0,0,0,0,0,urban,dry
0.65,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.652,192,8,Malicious,Gear_Spoofing,50,51,0,0,0,0,0,0,urban,dry
0.7,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.702,192,8,Malicious,Gear_Spoofing,39,50,0,0,0,0,0,0,urban,dry
0.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.752,192,8,Malicious,Gear_Spoofing,224,48,0,0,0,0,0,0,urban,dry
0.8,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.802,192,8,Malicious,Gear_Spoofing,125,47,0,0,0,0,0,0,urban,dry
0.85,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.852,192,8,Malicious,Gear_Spoofing,43,48,0,0,0,0,0,0,urban,dry
0.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
0.902,192,8,Malicious,Gear_Spoofing,22,47,0,0,0,0,0,0,urban,dry
0.95,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
0.952,192,8,Malicious,Gear_Spoofing,211,45,0,0,0,0,0,0,urban,dry
1.0,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.002,192,8,Malicious,Gear_Spoofing,209,48,0,0,0,0,0,0,urban,dry
1.05,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.052,192,8,Malicious,Gear_Spoofing,165,50,0,0,0,0,0,0,urban,dry
1.1,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.102,192,8,Malicious,Gear_Spoofing,4,50,0,0,0,0,0,0,urban,dry
1.15,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
1.152,192,8,Malicious,Gear_Spoofing,26,50,0,0,0,0,0,0,urban,dry
1.2,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
1.202,192,8,Malicious,Gear_Spoofing,221,49,0,0,0,0,0,0,urban,dry
1.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.252,192,8,Malicious,Gear_Spoofing,49,50,0,0,0,0,0,0,urban,dry
1.3,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
1.302,192,8,Malicious,Gear_Spoofing,67,51,0,0,0,0,0,0,urban,dry
1.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.4,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,dry
1.402,192,8,Malicious,Gear_Spoofing,184,51,0,0,0,0,0,0,urban,dry
1.45,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,dry
1.452,192,8,Malicious,Gear_Spoofing,210,53,0,0,0,0,0,0,urban,dry
1.502,192,8,Malicious,Gear_Spoofing,250,52,0,0,0,0,0,0,urban,dry
