timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.001,193,8,Malicious,RPM_Spoofing,212,17,0,0,0,0,0,0,urban,dry
0.051,193,8,Malicious,RPM_Spoofing,208,17,0,0,0,0,0,0,urban,dry
0.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.101,193,8,Malicious,RPM_Spoofing,206,17,0,0,0,0,0,0,urban,dry
0.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.151,193,8,Malicious,RPM_Spoofing,230,17,0,0,0,0,0,0,urban,dry
0.2,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.251,193,8,Malicious,RPM_Spoofing,150,18,0,0,0,0,0,0,urban,dry
0.301,193,8,Malicious,RPM_Spoofing,92,18,0,0,0,0,0,0,urban,dry
0.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.401,193,8,Malicious,RPM_Spoofing,51,18,0,0,0,0,0,0,urban,dry
0.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.451,193,8,Malicious,RPM_Spoofing,4,18,0,0,0,0,0,0,urban,dry
0.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.55,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.551,193,8,Malicious,RPM_Spoofing,94,18,0,0,0,0,0,0,urban,dry
0.6,192,8,Malicious,RPM_Spoofing,195,245,255,255,255,255,255,255,urban,dry
0.601,193,8,Malicious,RPM_Spoofing,58,18,0,0,0,0,0,0,urban,dry
0.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.651,193,8,Malicious,RPM_Spoofing,144,18,0,0,0,0,0,0,urban,dry
0.701,193,8,Malicious,RPM_Spoofing,48,18,0,0,0,0,0,0,urban,dry
0.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.751,193,8,Malicious,RPM_Spoofing,58,18,0,0,0,0,0,0,urban,dry
0.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,dry
0.801,193,8,Malicious,RPM_Spoofing,123,18,0,0,0,0,0,0,urban,dry
