timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.002,192,8,Malicious,Gear_Spoofing,210,33,0,0,0,0,0,0,urban,rain_fog
0.05,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.052,192,8,Malicious,Gear_Spoofing,240,34,0,0,0,0,0,0,urban,rain_fog
0.1,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.102,192,8,Malicious,Gear_Spoofing,48,35,0,0,0,0,0,0,urban,rain_fog
0.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.152,192,8,Malicious,Gear_Spoofing,11,34,0,0,0,0,0,0,urban,rain_fog
0.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.25,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.252,192,8,Malicious,Gear_Spoofing,33,32,0,0,0,0,0,0,urban,rain_fog
0.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.302,192,8,Malicious,Gear_Spoofing,68,34,0,0,0,0,0,0,urban,rain_fog
0.35,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.352,192,8,Malicious,Gear_Spoofing,212,33,0,0,0,0,0,0,urban,rain_fog
0.402,192,8,Malicious,Gear_Spoofing,188,31,0,0,0,0,0,0,urban,rain_fog
0.45,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.452,192,8,Malicious,Gear_Spoofing,126,31,0,0,0,0,0,0,urban,rain_fog
0.5,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.502,192,8,Malicious,Gear_Spoofing,101,31,0,0,0,0,0,0,urban,rain_fog
0.55,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.552,192,8,Malicious,Gear_Spoofing,136,32,0,0,0,0,0,0,urban,rain_fog
0.6,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.602,192,8,Malicious,Gear_Spoofing,174,34,0,0,0,0,0,0,urban,rain_fog
0.65,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.652,192,8,Malicious,Gear_Spoofing,233,34,0,0,0,0,0,0,urban,rain_fog
0.702,192,8,Malicious,Gear_Spoofing,248,35,0,0,0,0,0,0,urban,rain_fog
0.75,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.752,192,8,Malicious,Gear_Spoofing,68,33,0,0,0,0,0,0,urban,rain_fog
0.8,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.802,192,8,Malicious,Gear_Spoofing,88,33,0,0,0,0,0,0,urban,rain_fog
0.85,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
0.852,192,8,Malicious,Gear_Spoofing,56,35,0,0,0,0,0,0,urban,rain_fog
0.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.902,192,8,Malicious,Gear_Spoofing,196,35,0,0,0,0,0,0,urban,rain_fog
0.95,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
0.952,192,8,Malicious,Gear_Spoofing,139,36,0,0,0,0,0,0,urban,rain_fog
1.0,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.002,192,8,Malicious,Gear_Spoofing,249,33,0,0,0,0,0,0,urban,rain_fog
1.05,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.052,192,8,Malicious,Gear_Spoofing,198,35,0,0,0,0,0,0,urban,rain_fog
1.1,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.102,192,8,Malicious,Gear_Spoofing,172,34,0,0,0,0,0,0,urban,rain_fog
1.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.152,192,8,Malicious,Gear_Spoofing,142,34,0,0,0,0,0,0,urban,rain_fog
1.202,192,8,Malicious,Gear_Spoofing,6,34,0,0,0,0,0,0,urban,rain_fog
1.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.252,192,8,Malicious,Gear_Spoofing,160,33,0,0,0,0,0,0,urban,rain_fog
1.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.302,192,8,Malicious,Gear_Spoofing,175,36,0,0,0,0,0,0,urban,rain_fog
1.35,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.4,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.402,192,8,Malicious,Gear_Spoofing,92,36,0,0,0,0,0,0,urban,rain_fog
1.45,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.452,192,8,Malicious,Gear_Spoofing,199,34,0,0,0,0,0,0,urban,rain_fog
1.502,192,8,Malicious,Gear_Spoofing,235,35,0,0,0,0,0,0,urban,rain_fog
1.55,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.552,192,8,Malicious,Gear_Spoofing,228,33,0,0,0,0,0,0,urban,rain_fog
1.6,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.602,192,8,Malicious,Gear_Spoofing,26,35,0,0,0,0,0,0,urban,rain_fog
1.7,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.702,192,8,Malicious,Gear_Spoofing,145,35,0,0,0,0,0,0,urban,rain_fog
1.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
1.752,192,8,Malicious,Gear_Spoofing,155,34,0,0,0,0,0,0,urban,rain_fog
1.8,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.802,192,8,Malicious,Gear_Spoofing,101,34,0,0,0,0,0,0,urban,rain_fog
1.852,192,8,Malicious,Gear_Spoofing,104,33,0,0,0,0,0,0,urban,rain_fog
1.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
1.952,192,8,Malicious,Gear_Spoofing,14,32,0,0,0,0,0,0,urban,rain_fog
2.0,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.002,192,8,Malicious,Gear_Spoofing,111,33,0,0,0,0,0,0,urban,rain_fog
2.052,192,8,Malicious,Gear_Spoofing,66,31,0,0,0,0,0,0,urban,rain_fog
2.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.102,192,8,Malicious,Gear_Spoofing,218,28,0,0,0,0,0,0,urban,rain_fog
2.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.152,192,8,Malicious,Gear_Spoofing,104,30,0,0,0,0,0,0,urban,rain_fog
2.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.202,192,8,Malicious,Gear_Spoofing,93,31,0,0,0,0,0,0,urban,rain_fog
2.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.252,192,8,Malicious,Gear_Spoofing,48,33,0,0,0,0,0,0,urban,rain_fog
2.3,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.302,192,8,Malicious,Gear_Spoofing,168,32,0,0,0,0,0,0,urban,rain_fog
2.35,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.352,192,8,Malicious,Gear_Spoofing,39,30,0,0,0,0,0,0,urban,rain_fog
2.4,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.45,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.452,192,8,Malicious,Gear_Spoofing,106,27,0,0,0,0,0,0,urban,rain_fog
2.5,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.502,192,8,Malicious,Gear_Spoofing,83,26,0,0,0,0,0,0,urban,rain_fog
2.55,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.552,192,8,Malicious,Gear_Spoofing,125,28,0,0,0,0,0,0,urban,rain_fog
2.6,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.65,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.652,192,8,Malicious,Gear_Spoofing,129,28,0,0,0,0,0,0,urban,rain_fog
2.7,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.702,192,8,Malicious,Gear_Spoofing,167,26,0,0,0,0,0,0,urban,rain_fog
2.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.752,192,8,Malicious,Gear_Spoofing,88,29,0,0,0,0,0,0,urban,rain_fog
2.802,192,8,Malicious,Gear_Spoofing,51,27,0,0,0,0,0,0,urban,rain_fog
2.85,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.852,192,8,Malicious,Gear_Spoofing,153,27,0,0,0,0,0,0,urban,rain_fog
2.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
2.95,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
2.952,192,8,Malicious,Gear_Spoofing,23,29,0,0,0,0,0,0,urban,rain_fog
3.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
3.002,192,8,Malicious,Gear_Spoofing,198,30,0,0,0,0,0,0,urban,rain_fog
3.05,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
3.052,192,8,Malicious,Gear_Spoofing,243,29,0,0,0,0,0,0,urban,rain_fog
3.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
3.152,192,8,Malicious,Gear_Spoofing,5,32,0,0,0,0,0,0,urban,rain_fog
3.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.202,192,8,Malicious,Gear_Spoofing,63,33,0,0,0,0,0,0,urban,rain_fog
3.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.252,192,8,Malicious,Gear_Spoofing,206,32,0,0,0,0,0,0,urban,rain_fog
3.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.302,192,8,Malicious,Gear_Spoofing,82,32,0,0,0,0,0,0,urban,rain_fog
3.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.352,192,8,Malicious,Gear_Spoofing,48,33,0,0,0,0,0,0,urban,rain_fog
3.402,192,8,Malicious,Gear_Spoofing,219,34,0,0,0,0,0,0,urban,rain_fog
3.452,192,8,Malicious,Gear_Spoofing,146,35,0,0,0,0,0,0,urban,rain_fog
3.5,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.55,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.6,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.65,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.652,192,8,Malicious,Gear_Spoofing,32,34,0,0,0,0,0,0,urban,rain_fog
3.7,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.702,192,8,Malicious,Gear_Spoofing,202,34,0,0,0,0,0,0,urban,rain_fog
3.75,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.752,192,8,Malicious,Gear_Spoofing,54,34,0,0,0,0,0,0,urban,rain_fog
3.8,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
3.85,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
3.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
3.902,192,8,Malicious,Gear_Spoofing,28,35,0,0,0,0,0,0,urban,rain_fog
3.95,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.0,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.102,192,8,Malicious,Gear_Spoofing,242,30,0,0,0,0,0,0,urban,rain_fog
4.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.152,192,8,Malicious,Gear_Spoofing,15,31,0,0,0,0,0,0,urban,rain_fog
4.2,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.202,192,8,Malicious,Gear_Spoofing,41,29,0,0,0,0,0,0,urban,rain_fog
4.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.252,192,8,Malicious,Gear_Spoofing,8,28,0,0,0,0,0,0,urban,rain_fog
4.3,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.302,192,8,Malicious,Gear_Spoofing,238,27,0,0,0,0,0,0,urban,rain_fog
4.352,192,8,Malicious,Gear_Spoofing,130,25,0,0,0,0,0,0,urban,rain_fog
4.4,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.402,192,8,Malicious,Gear_Spoofing,138,24,0,0,0,0,0,0,urban,rain_fog
4.452,192,8,Malicious,Gear_Spoofing,197,23,0,0,0,0,0,0,urban,rain_fog
4.5,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.502,192,8,Malicious,Gear_Spoofing,67,23,0,0,0,0,0,0,urban,rain_fog
4.55,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.552,192,8,Malicious,Gear_Spoofing,225,21,0,0,0,0,0,0,urban,rain_fog
4.6,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.602,192,8,Malicious,Gear_Spoofing,115,23,0,0,0,0,0,0,urban,rain_fog
4.65,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
4.652,192,8,Malicious,Gear_Spoofing,5,22,0,0,0,0,0,0,urban,rain_fog
4.7,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.85,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.852,192,8,Malicious,Gear_Spoofing,8,21,0,0,0,0,0,0,urban,rain_fog
4.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.95,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
4.952,192,8,Malicious,Gear_Spoofing,79,23,0,0,0,0,0,0,urban,rain_fog
5.0,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.002,192,8,Malicious,Gear_Spoofing,74,25,0,0,0,0,0,0,urban,rain_fog
5.05,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.1,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.102,192,8,Malicious,Gear_Spoofing,193,23,0,0,0,0,0,0,urban,rain_fog
5.2,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.202,192,8,Malicious,Gear_Spoofing,242,23,0,0,0,0,0,0,urban,rain_fog
5.25,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.3,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.302,192,8,Malicious,Gear_Spoofing,145,25,0,0,0,0,0,0,urban,rain_fog
5.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.4,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.402,192,8,Malicious,Gear_Spoofing,82,24,0,0,0,0,0,0,urban,rain_fog
5.45,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.452,192,8,Malicious,Gear_Spoofing,175,22,0,0,0,0,0,0,urban,rain_fog
5.502,192,8,Malicious,Gear_Spoofing,153,24,0,0,0,0,0,0,urban,rain_fog
5.55,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.552,192,8,Malicious,Gear_Spoofing,35,23,0,0,0,0,0,0,urban,rain_fog
5.6,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.602,192,8,Malicious,Gear_Spoofing,224,21,0,0,0,0,0,0,urban,rain_fog
5.65,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.652,192,8,Malicious,Gear_Spoofing,54,23,0,0,0,0,0,0,urban,rain_fog
5.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
5.752,192,8,Malicious,Gear_Spoofing,128,23,0,0,0,0,0,0,urban,rain_fog
5.8,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.802,192,8,Malicious,Gear_Spoofing,65,22,0,0,0,0,0,0,urban,rain_fog
5.85,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.9,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
5.902,192,8,Malicious,Gear_Spoofing,179,24,0,0,0,0,0,0,urban,rain_fog
5.952,192,8,Malicious,Gear_Spoofing,123,24,0,0,0,0,0,0,urban,rain_fog
6.002,192,8,Malicious,Gear_Spoofing,139,24,0,0,0,0,0,0,urban,rain_fog
6.05,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.052,192,8,Malicious,Gear_Spoofing,249,23,0,0,0,0,0,0,urban,rain_fog
6.102,192,8,Malicious,Gear_Spoofing,239,23,0,0,0,0,0,0,urban,rain_fog
6.15,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.152,192,8,Malicious,Gear_Spoofing,62,23,0,0,0,0,0,0,urban,rain_fog
6.2,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
6.25,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.252,192,8,Malicious,Gear_Spoofing,213,19,0,0,0,0,0,0,urban,rain_fog
6.3,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
6.302,192,8,Malicious,Gear_Spoofing,93,21,0,0,0,0,0,0,urban,rain_fog
6.35,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.352,192,8,Malicious,Gear_Spoofing,148,21,0,0,0,0,0,0,urban,rain_fog
6.4,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.402,192,8,Malicious,Gear_Spoofing,176,22,0,0,0,0,0,0,urban,rain_fog
6.452,192,8,Malicious,Gear_Spoofing,215,20,0,0,0,0,0,0,urban,rain_fog
6.5,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
6.502,192,8,Malicious,Gear_Spoofing,58,20,0,0,0,0,0,0,urban,rain_fog
6.55,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.552,192,8,Malicious,Gear_Spoofing,39,18,0,0,0,0,0,0,urban,rain_fog
6.6,432,4,Malicious,Gear_Spoofing,1,120,255,255,0,0,0,0,urban,rain_fog
6.602,192,8,Malicious,Gear_Spoofing,102,20,0,0,0,0,0,0,urban,rain_fog
6.65,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
6.652,192,8,Malicious,Gear_Spoofing,60,19,0,0,0,0,0,0,urban,rain_fog
6.7,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
6.702,192,8,Malicious,Gear_Spoofing,128,18,0,0,0,0,0,0,urban,rain_fog
6.75,432,4,Malicious,Gear_Spoofing,15,120,255,255,0,0,0,0,urban,rain_fog
