timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,192,8,Malicious,RPM_Spoofing,106,237,255,255,255,255,255,255,urban,rain_fog
0.001,193,8,Malicious,RPM_Spoofing,250,14,0,0,0,0,0,0,urban,rain_fog
0.05,192,8,Malicious,RPM_Spoofing,168,242,255,255,255,255,255,255,urban,rain_fog
0.051,193,8,Malicious,RPM_Spoofing,89,15,0,0,0,0,0,0,urban,rain_fog
0.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.101,193,8,Malicious,RPM_Spoofing,5,15,0,0,0,0,0,0,urban,rain_fog
0.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.151,193,8,Malicious,RPM_Spoofing,45,15,0,0,0,0,0,0,urban,rain_fog
0.2,192,8,Malicious,RPM_Spoofing,166,236,255,255,255,255,255,255,urban,rain_fog
0.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.251,193,8,Malicious,RPM_Spoofing,103,15,0,0,0,0,0,0,urban,rain_fog
0.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.301,193,8,Malicious,RPM_Spoofing,201,15,0,0,0,0,0,0,urban,rain_fog
0.35,192,8,Malicious,RPM_Spoofing,83,244,255,255,255,255,255,255,urban,rain_fog
0.351,193,8,Malicious,RPM_Spoofing,30,16,0,0,0,0,0,0,urban,rain_fog
0.401,193,8,Malicious,RPM_Spoofing,105,16,0,0,0,0,0,0,urban,rain_fog
0.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.451,193,8,Malicious,RPM_Spoofing,118,16,0,0,0,0,0,0,urban,rain_fog
0.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.501,193,8,Malicious,RPM_Spoofing,200,16,0,0,0,0,0,0,urban,rain_fog
0.55,192,8,Malicious,RPM_Spoofing,133,255,255,255,255,255,255,255,urban,rain_fog
0.551,193,8,Malicious,RPM_Spoofing,31,17,0,0,0,0,0,0,urban,rain_fog
0.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.601,193,8,Malicious,RPM_Spoofing,225,16,0,0,0,0,0,0,urban,rain_fog
0.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.651,193,8,Malicious,RPM_Spoofing,128,16,0,0,0,0,0,0,urban,rain_fog
0.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.701,193,8,Malicious,RPM_Spoofing,213,16,0,0,0,0,0,0,urban,rain_fog
0.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.751,193,8,Malicious,RPM_Spoofing,193,16,0,0,0,0,0,0,urban,rain_fog
0.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.801,193,8,Malicious,RPM_Spoofing,136,16,0,0,0,0,0,0,urban,rain_fog
0.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.851,193,8,Malicious,RPM_Spoofing,191,16,0,0,0,0,0,0,urban,rain_fog
0.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.901,193,8,Malicious,RPM_Spoofing,1,17,0,0,0,0,0,0,urban,rain_fog
0.95,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
0.951,193,8,Malicious,RPM_Spoofing,231,16,0,0,0,0,0,0,urban,rain_fog
1.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.001,193,8,Malicious,RPM_Spoofing,44,17,0,0,0,0,0,0,urban,rain_fog
1.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.051,193,8,Malicious,RPM_Spoofing,57,17,0,0,0,0,0,0,urban,rain_fog
1.1,192,8,Malicious,RPM_Spoofing,248,243,255,255,255,255,255,255,urban,rain_fog
1.101,193,8,Malicious,RPM_Spoofing,73,17,0,0,0,0,0,0,urban,rain_fog
1.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.151,193,8,Malicious,RPM_Spoofing,141,17,0,0,0,0,0,0,urban,rain_fog
1.2,192,8,Malicious,RPM_Spoofing,191,240,255,255,255,255,255,255,urban,rain_fog
1.201,193,8,Malicious,RPM_Spoofing,201,17,0,0,0,0,0,0,urban,rain_fog
1.25,192,8,Malicious,RPM_Spoofing,91,243,255,255,255,255,255,255,urban,rain_fog
1.251,193,8,Malicious,RPM_Spoofing,140,17,0,0,0,0,0,0,urban,rain_fog
1.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.301,193,8,Malicious,RPM_Spoofing,155,17,0,0,0,0,0,0,urban,rain_fog
1.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.401,193,8,Malicious,RPM_Spoofing,122,17,0,0,0,0,0,0,urban,rain_fog
1.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.451,193,8,Malicious,RPM_Spoofing,35,17,0,0,0,0,0,0,urban,rain_fog
1.501,193,8,Malicious,RPM_Spoofing,33,17,0,0,0,0,0,0,urban,rain_fog
1.55,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.551,193,8,Malicious,RPM_Spoofing,76,17,0,0,0,0,0,0,urban,rain_fog
1.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.601,193,8,Malicious,RPM_Spoofing,55,17,0,0,0,0,0,0,urban,rain_fog
1.651,193,8,Malicious,RPM_Spoofing,25,17,0,0,0,0,0,0,urban,rain_fog
1.7,192,8,Malicious,RPM_Spoofing,207,250,255,255,255,255,255,255,urban,rain_fog
1.701,193,8,Malicious,RPM_Spoofing,216,16,0,0,0,0,0,0,urban,rain_fog
1.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.751,193,8,Malicious,RPM_Spoofing,179,16,0,0,0,0,0,0,urban,rain_fog
1.8,192,8,Malicious,RPM_Spoofing,3,246,255,255,255,255,255,255,urban,rain_fog
1.801,193,8,Malicious,RPM_Spoofing,91,16,0,0,0,0,0,0,urban,rain_fog
1.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
1.851,193,8,Malicious,RPM_Spoofing,13,16,0,0,0,0,0,0,urban,rain_fog
1.9,192,8,Malicious,RPM_Spoofing,143,253,255,255,255,255,255,255,urban,rain_fog
1.95,192,8,Malicious,RPM_Spoofing,201,241,255,255,255,255,255,255,urban,rain_fog
1.951,193,8,Malicious,RPM_Spoofing,16,16,0,0,0,0,0,0,urban,rain_fog
2.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.001,193,8,Malicious,RPM_Spoofing,40,16,0,0,0,0,0,0,urban,rain_fog
2.051,193,8,Malicious,RPM_Spoofing,235,15,0,0,0,0,0,0,urban,rain_fog
2.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.101,193,8,Malicious,RPM_Spoofing,159,15,0,0,0,0,0,0,urban,rain_fog
2.15,192,8,Malicious,RPM_Spoofing,132,245,255,255,255,255,255,255,urban,rain_fog
2.151,193,8,Malicious,RPM_Spoofing,160,15,0,0,0,0,0,0,urban,rain_fog
2.2,192,8,Malicious,RPM_Spoofing,13,236,255,255,255,255,255,255,urban,rain_fog
2.201,193,8,Malicious,RPM_Spoofing,169,15,0,0,0,0,0,0,urban,rain_fog
2.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.251,193,8,Malicious,RPM_Spoofing,91,15,0,0,0,0,0,0,urban,rain_fog
2.3,192,8,Malicious,RPM_Spoofing,4,250,255,255,255,255,255,255,urban,rain_fog
2.301,193,8,Malicious,RPM_Spoofing,19,15,0,0,0,0,0,0,urban,rain_fog
2.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.351,193,8,Malicious,RPM_Spoofing,42,15,0,0,0,0,0,0,urban,rain_fog
2.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.451,193,8,Malicious,RPM_Spoofing,26,15,0,0,0,0,0,0,urban,rain_fog
2.5,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.501,193,8,Malicious,RPM_Spoofing,195,14,0,0,0,0,0,0,urban,rain_fog
2.55,192,8,Malicious,RPM_Spoofing,160,236,255,255,255,255,255,255,urban,rain_fog
2.551,193,8,Malicious,RPM_Spoofing,226,14,0,0,0,0,0,0,urban,rain_fog
2.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.65,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.651,193,8,Malicious,RPM_Spoofing,6,15,0,0,0,0,0,0,urban,rain_fog
2.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.701,193,8,Malicious,RPM_Spoofing,254,14,0,0,0,0,0,0,urban,rain_fog
2.75,192,8,Malicious,RPM_Spoofing,189,251,255,255,255,255,255,255,urban,rain_fog
2.751,193,8,Malicious,RPM_Spoofing,80,15,0,0,0,0,0,0,urban,rain_fog
2.801,193,8,Malicious,RPM_Spoofing,47,15,0,0,0,0,0,0,urban,rain_fog
2.85,192,8,Malicious,RPM_Spoofing,212,253,255,255,255,255,255,255,urban,rain_fog
2.851,193,8,Malicious,RPM_Spoofing,105,15,0,0,0,0,0,0,urban,rain_fog
2.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.95,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
2.951,193,8,Malicious,RPM_Spoofing,190,15,0,0,0,0,0,0,urban,rain_fog
3.0,192,8,Malicious,RPM_Spoofing,189,246,255,255,255,255,255,255,urban,rain_fog
3.001,193,8,Malicious,RPM_Spoofing,105,15,0,0,0,0,0,0,urban,rain_fog
3.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.051,193,8,Malicious,RPM_Spoofing,134,15,0,0,0,0,0,0,urban,rain_fog
3.1,192,8,Malicious,RPM_Spoofing,154,240,255,255,255,255,255,255,urban,rain_fog
3.151,193,8,Malicious,RPM_Spoofing,247,14,0,0,0,0,0,0,urban,rain_fog
3.2,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.201,193,8,Malicious,RPM_Spoofing,244,14,0,0,0,0,0,0,urban,rain_fog
3.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.251,193,8,Malicious,RPM_Spoofing,247,14,0,0,0,0,0,0,urban,rain_fog
3.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.301,193,8,Malicious,RPM_Spoofing,188,14,0,0,0,0,0,0,urban,rain_fog
3.35,192,8,Malicious,RPM_Spoofing,50,244,255,255,255,255,255,255,urban,rain_fog
3.351,193,8,Malicious,RPM_Spoofing,144,14,0,0,0,0,0,0,urban,rain_fog
3.401,193,8,Malicious,RPM_Spoofing,87,14,0,0,0,0,0,0,urban,rain_fog
3.451,193,8,Malicious,RPM_Spoofing,100,14,0,0,0,0,0,0,urban,rain_fog
3.5,192,8,Malicious,RPM_Spoofing,54,253,255,255,255,255,255,255,urban,rain_fog
3.55,192,8,Malicious,RPM_Spoofing,121,240,255,255,255,255,255,255,urban,rain_fog
3.551,193,8,Malicious,RPM_Spoofing,82,14,0,0,0,0,0,0,urban,rain_fog
3.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.65,192,8,Malicious,RPM_Spoofing,21,248,255,255,255,255,255,255,urban,rain_fog
3.651,193,8,Malicious,RPM_Spoofing,76,14,0,0,0,0,0,0,urban,rain_fog
3.7,192,8,Malicious,RPM_Spoofing,240,248,255,255,255,255,255,255,urban,rain_fog
3.701,193,8,Malicious,RPM_Spoofing,81,14,0,0,0,0,0,0,urban,rain_fog
3.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.751,193,8,Malicious,RPM_Spoofing,84,14,0,0,0,0,0,0,urban,rain_fog
3.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.801,193,8,Malicious,RPM_Spoofing,94,14,0,0,0,0,0,0,urban,rain_fog
3.85,192,8,Malicious,RPM_Spoofing,115,254,255,255,255,255,255,255,urban,rain_fog
3.9,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
3.901,193,8,Malicious,RPM_Spoofing,33,14,0,0,0,0,0,0,urban,rain_fog
3.95,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.0,192,8,Malicious,RPM_Spoofing,67,241,255,255,255,255,255,255,urban,rain_fog
4.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.101,193,8,Malicious,RPM_Spoofing,87,14,0,0,0,0,0,0,urban,rain_fog
4.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.151,193,8,Malicious,RPM_Spoofing,22,14,0,0,0,0,0,0,urban,rain_fog
4.2,192,8,Malicious,RPM_Spoofing,37,239,255,255,255,255,255,255,urban,rain_fog
4.201,193,8,Malicious,RPM_Spoofing,255,13,0,0,0,0,0,0,urban,rain_fog
4.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.251,193,8,Malicious,RPM_Spoofing,39,14,0,0,0,0,0,0,urban,rain_fog
4.3,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.301,193,8,Malicious,RPM_Spoofing,25,14,0,0,0,0,0,0,urban,rain_fog
4.351,193,8,Malicious,RPM_Spoofing,22,14,0,0,0,0,0,0,urban,rain_fog
4.4,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,rain_fog
4.401,193,8,Malicious,RPM_Spoofing,88,14,0,0,0,0,0,0,urban,rain_fog
