timestamp,arbitration_id,dlc,flag,attack_type,data_0,data_1,data_2,data_3,data_4,data_5,data_6,data_7,road_type,climate
0.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.001,193,8,Malicious,RPM_Spoofing,105,16,0,0,0,0,0,0,urban,snow
0.05,192,8,Malicious,RPM_Spoofing,7,242,255,255,255,255,255,255,urban,snow
0.051,193,8,Malicious,RPM_Spoofing,171,16,0,0,0,0,0,0,urban,snow
0.1,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.101,193,8,Malicious,RPM_Spoofing,183,16,0,0,0,0,0,0,urban,snow
0.15,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.151,193,8,Malicious,RPM_Spoofing,133,16,0,0,0,0,0,0,urban,snow
0.2,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.25,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.251,193,8,Malicious,RPM_Spoofing,138,16,0,0,0,0,0,0,urban,snow
0.3,192,8,Malicious,RPM_Spoofing,70,253,255,255,255,255,255,255,urban,snow
0.301,193,8,Malicious,RPM_Spoofing,126,16,0,0,0,0,0,0,urban,snow
0.35,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.351,193,8,Malicious,RPM_Spoofing,203,16,0,0,0,0,0,0,urban,snow
0.401,193,8,Malicious,RPM_Spoofing,173,16,0,0,0,0,0,0,urban,snow
0.45,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.451,193,8,Malicious,RPM_Spoofing,110,16,0,0,0,0,0,0,urban,snow
0.5,192,8,Malicious,RPM_Spoofing,34,236,255,255,255,255,255,255,urban,snow
0.501,193,8,Malicious,RPM_Spoofing,71,16,0,0,0,0,0,0,urban,snow
0.55,192,8,Malicious,RPM_Spoofing,103,249,255,255,255,255,255,255,urban,snow
0.551,193,8,Malicious,RPM_Spoofing,19,16,0,0,0,0,0,0,urban,snow
0.6,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.601,193,8,Malicious,RPM_Spoofing,77,16,0,0,0,0,0,0,urban,snow
0.65,192,8,Malicious,RPM_Spoofing,73,244,255,255,255,255,255,255,urban,snow
0.651,193,8,Malicious,RPM_Spoofing,101,16,0,0,0,0,0,0,urban,snow
0.7,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.701,193,8,Malicious,RPM_Spoofing,188,16,0,0,0,0,0,0,urban,snow
0.75,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.751,193,8,Malicious,RPM_Spoofing,104,16,0,0,0,0,0,0,urban,snow
0.8,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.801,193,8,Malicious,RPM_Spoofing,130,16,0,0,0,0,0,0,urban,snow
0.85,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.851,193,8,Malicious,RPM_Spoofing,223,16,0,0,0,0,0,0,urban,snow
0.9,192,8,Malicious,RPM_Spoofing,51,240,255,255,255,255,255,255,urban,snow
0.901,193,8,Malicious,RPM_Spoofing,130,16,0,0,0,0,0,0,urban,snow
0.95,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
0.951,193,8,Malicious,RPM_Spoofing,39,16,0,0,0,0,0,0,urban,snow
1.0,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
1.001,193,8,Malicious,RPM_Spoofing,209,15,0,0,0,0,0,0,urban,snow
1.05,192,8,Malicious,RPM_Spoofing,255,255,255,255,255,255,255,255,urban,snow
1.051,193,8,Malicious,RPM_Spoofing,7,16,0,0,0,0,0,0,urban,snow
